"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2019,CO2,Residential,Space Heating,2892398.277054941
2019,CO2,Residential,Water Heating,954752.6173714229
2019,CO2e,Commercial,Auxiliary Equipment,250150.97602660247
2019,CO2e,Commercial,Space Cooling,6595.850477960882
2019,CO2e,Commercial,Space Heating,1837718.814981095
2019,CO2e,Commercial,Water Heating,310582.7525247756
2019,CO2e,Industry,Industrial Processes,634196.8921500929
2019,CO2e,Industry,Space Cooling,1474.9927792817748
2019,CO2e,Industry,Space Heating,40722.753828036766
2019,CO2e,Industry,Water Heating,153772.13979606022
2019,CO2e,Public,Auxiliary Equipment,18795.8586567606
2019,CO2e,Public,Space Cooling,11227.590061107278
2019,CO2e,Public,Space Heating,380459.2527267176
2019,CO2e,Public,Water Heating,48394.39948500985
2019,CO2e,Residential,Clothe Dryer,4506.1349924396545
2019,CO2e,Residential,Range,4585.67873671551
2019,CO2e,Residential,Space Heating,2913081.6717278147
2019,CO2e,Residential,Water Heating,980050.4911744748
2019,N2O,Commercial,Auxiliary Equipment,10.79554892942969
2019,N2O,Commercial,Space Cooling,0.13782583114256186
2019,N2O,Commercial,Space Heating,37.47845926607725
2019,N2O,Commercial,Water Heating,6.168938791488121
2019,N2O,Industry,Industrial Processes,11.463072331772882
2019,N2O,Industry,Space Cooling,0.027182264637220767
2019,N2O,Industry,Space Heating,0.8098812095544924
2019,N2O,Industry,Water Heating,3.1222221086835247
2019,N2O,Public,Auxiliary Equipment,0.3497491218932526
2019,N2O,Public,Space Cooling,0.2756116826787245
2019,N2O,Public,Space Heating,6.909704232198898
2019,N2O,Public,Water Heating,0.9381392542164946
2019,N2O,Residential,Clothe Dryer,0.08304240913991363
2019,N2O,Residential,Range,0.08450830045647628
2019,N2O,Residential,Space Heating,54.460543269499176
2019,N2O,Residential,Water Heating,27.27261530626483
2020,CH4,Commercial,Auxiliary Equipment,4.44137045095666
2020,CH4,Commercial,Space Cooling,0.3698373027970379
2020,CH4,Commercial,Space Heating,35.936999927638645
2020,CH4,Commercial,Water Heating,6.104754564563528
2020,CH4,Industry,Industrial Processes,12.655361999169338
2020,CH4,Industry,Space Cooling,0.02876876363276471
2020,CH4,Industry,Space Heating,0.7681806363693202
2020,CH4,Industry,Water Heating,2.9368257594877702
2020,CH4,Public,Auxiliary Equipment,0.37322021187414633
2020,CH4,Public,Space Cooling,0.5030654901183315
2020,CH4,Public,Space Heating,7.288676625435588
2020,CH4,Public,Water Heating,0.989088373028944
2020,CH4,Residential,Clothe Dryer,0.08779126373800411
2020,CH4,Residential,Range,0.08934594093486849
2020,CH4,Residential,Space Heating,212.15394056470066
2020,CH4,Residential,Water Heating,872.629254317598
2020,CO2,Commercial,Auxiliary Equipment,244199.16229611225
2020,CO2,Commercial,Space Cooling,12863.788706920805
2020,CO2,Commercial,Space Heating,1840089.7845574687
2020,CO2,Commercial,Water Heating,314616.1000968811
2020,CO2,Industry,Industrial Processes,631244.502195733
2020,CO2,Industry,Space Cooling,1467.984479423237
2020,CO2,Industry,Space Heating,40512.08584714923
2020,CO2,Industry,Water Heating,152956.77423654767
2020,CO2,Public,Auxiliary Equipment,17608.55464459629
2020,CO2,Public,Space Cooling,18239.676810137575
2020,CO2,Public,Space Heating,380956.38399686466
2020,CO2,Public,Water Heating,49244.46167492079
2020,CO2,Residential,Clothe Dryer,4479.727187495994
2020,CO2,Residential,Range,4559.057742838696
2020,CO2,Residential,Space Heating,2884495.701806719
2020,CO2,Residential,Water Heating,970915.143512042
2020,CO2e,Commercial,Auxiliary Equipment,247521.2012066913
2020,CO2e,Commercial,Space Cooling,12975.809394873491
2020,CO2e,Commercial,Space Heating,1852130.7490030453
2020,CO2e,Commercial,Water Heating,316608.2884204207
2020,CO2e,Industry,Industrial Processes,634930.210247946
2020,CO2e,Industry,Space Cooling,1476.6983046673554
2020,CO2e,Industry,Space Heating,40769.84130628751
2020,CO2e,Industry,Water Heating,153949.94560753217
2020,CO2e,Public,Auxiliary Equipment,17721.628673962885
2020,CO2e,Public,Space Cooling,18392.05122265554
2020,CO2e,Public,Space Heating,383181.0780586097
2020,CO2e,Public,Water Heating,49547.420491426026
2020,CO2e,Residential,Clothe Dryer,4506.318449461179
2020,CO2e,Residential,Range,4586.119903921318
2020,CO2e,Residential,Space Heating,2905091.821804463
2020,CO2e,Residential,Water Heating,997623.9774218466
2020,N2O,Commercial,Auxiliary Equipment,10.834799097681422
2020,N2O,Commercial,Space Cooling,0.34984598857028615
2020,N2O,Commercial,Space Heating,37.8734478090483
2020,N2O,Commercial,Water Heating,6.254994891558326
2020,N2O,Industry,Industrial Processes,11.476327014194151
2020,N2O,Industry,Space Cooling,0.02721369532829095
2020,N2O,Industry,Space Heating,0.810817670384258
2020,N2O,Industry,Water Heating,3.125832315554376
2020,N2O,Public,Auxiliary Equipment,0.35314229838000044
2020,N2O,Public,Space Cooling,0.4758726081391811
2020,N2O,Public,Space Heating,6.951784740304945
2020,N2O,Public,Water Heating,0.9469394653409894
2020,N2O,Residential,Clothe Dryer,0.08304579002243635
2020,N2O,Residential,Range,0.08451643061406483
2020,N2O,Residential,Space Heating,54.16405116068652
2020,N2O,Residential,Water Heating,28.13295157427856
2021,CH4,Commercial,Auxiliary Equipment,4.467771813322524
2021,CH4,Commercial,Space Cooling,0.37510961120902536
2021,CH4,Commercial,Space Heating,35.97339443771766
2021,CH4,Commercial,Water Heating,6.1609312560881655
2021,CH4,Industry,Industrial Processes,12.66997841815583
2021,CH4,Industry,Space Cooling,0.02880199036332463
2021,CH4,Industry,Space Heating,0.7690678531906535
2021,CH4,Industry,Water Heating,2.940217671613343
2021,CH4,Public,Auxiliary Equipment,0.3755146195800374
2021,CH4,Public,Space Cooling,0.5216816174190178
2021,CH4,Public,Space Heating,7.332711554096041
2021,CH4,Public,Water Heating,0.9926517482130016
2021,CH4,Residential,Clothe Dryer,0.08778944204132859
2021,CH4,Residential,Range,0.08934334636473838
2021,CH4,Residential,Space Heating,212.58664009673484
2021,CH4,Residential,Water Heating,915.5245307163465
2021,CO2,Commercial,Auxiliary Equipment,245334.44437106405
2021,CO2,Commercial,Space Cooling,12975.550394907257
2021,CO2,Commercial,Space Heating,1841674.0923072204
2021,CO2,Commercial,Water Heating,317433.3014160342
2021,CO2,Industry,Industrial Processes,631973.5634527534
2021,CO2,Industry,Space Cooling,1469.679940701538
2021,CO2,Industry,Space Heating,40558.87562852252
2021,CO2,Industry,Water Heating,153133.4329761907
2021,CO2,Public,Auxiliary Equipment,17667.72339162363
2021,CO2,Public,Space Cooling,18713.41123432526
2021,CO2,Public,Space Heating,382721.5143035846
2021,CO2,Public,Water Heating,49325.36791727977
2021,CO2,Residential,Clothe Dryer,4479.634231730497
2021,CO2,Residential,Range,4558.925349638544
2021,CO2,Residential,Space Heating,2886598.121050345
2021,CO2,Residential,Water Heating,979072.5282943551
