regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2031,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2031,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2031,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2032,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2032,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2032,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2032,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2032,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2032,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2032,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2032,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2032,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2032,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2032,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2032,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2032,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2032,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2033,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2033,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2033,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2033,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2033,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2033,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2033,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2033,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2033,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2033,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2033,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2033,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2033,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2033,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2034,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2034,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2034,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2034,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2034,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2034,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2034,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2034,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2034,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2034,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2034,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2034,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2034,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2034,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2035,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2035,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2035,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2035,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2035,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2035,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2035,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2035,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2035,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2035,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2035,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2035,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2035,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2035,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2036,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2036,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2036,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2036,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2036,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2036,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2036,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2036,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2036,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2036,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2036,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2036,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2036,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2036,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2037,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2037,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2037,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2037,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2037,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2037,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2037,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2037,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2037,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2037,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2037,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2037,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2037,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2037,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2038,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2038,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2038,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2038,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2038,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2038,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2038,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2038,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2038,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2038,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2038,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2038,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2038,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2038,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2039,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2039,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2039,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2039,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2039,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2039,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2039,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2039,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2039,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2039,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2039,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2039,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2039,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2039,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2040,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2040,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2040,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2040,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2040,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2040,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2040,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2040,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2040,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2040,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2040,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2040,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2040,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2040,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2041,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2041,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
