regions,periods,tech,vintage,cost_fixed,cost_fixed_units,cost_fixed_notes
TO,2030,COMBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2030,PUBBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AveragePipe
TO,2030,PUBBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,2030,PUBBDGDCOPRDHEPMEDELC_EX,2015,0.6700361111111112,k$/TJ,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2030,PUBBDGDCOPRDHEPMEDHWP_EX,2015,0.08276916666666666,k$/TJ,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2030,PUBBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict HeatingToronto AveragePipe
TO,2030,PUBBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,2030,PUBBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,2030,RESBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingToronto AveragePipe
TO,2030,RESBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,2030,RESBDGDCOPRDDLAENWELC_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2030,RESBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2030,RESBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2030,RESBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AveragePipe
TO,2030,RESBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,2030,RESBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,2031,COMBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,2031,COMBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2031,COMBDGDCOPRDDLAENWELC_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2031,COMBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2031,COMBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2031,COMBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AveragePipe
TO,2031,COMBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2031,COMBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2031,PUBBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AveragePipe
TO,2031,PUBBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,2031,PUBBDGDCOPRDHEPMEDELC_EX,2015,0.6700361111111112,k$/TJ,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2031,PUBBDGDCOPRDHEPMEDHWP_EX,2015,0.08276916666666666,k$/TJ,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2031,PUBBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict HeatingToronto AveragePipe
TO,2031,PUBBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,2031,PUBBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,2031,RESBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingToronto AveragePipe
TO,2031,RESBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,2031,RESBDGDCOPRDDLAENWELC_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2031,RESBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2031,RESBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2031,RESBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AveragePipe
TO,2031,RESBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,2031,RESBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,2032,COMBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,2032,COMBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2032,COMBDGDCOPRDDLAENWELC_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2032,COMBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2032,COMBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2032,COMBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AveragePipe
TO,2032,COMBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2032,COMBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2032,PUBBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AveragePipe
TO,2032,PUBBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,2032,PUBBDGDCOPRDHEPMEDELC_EX,2015,0.6700361111111112,k$/TJ,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2032,PUBBDGDCOPRDHEPMEDHWP_EX,2015,0.08276916666666666,k$/TJ,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2032,PUBBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict HeatingToronto AveragePipe
TO,2032,PUBBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,2032,PUBBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,2032,RESBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingToronto AveragePipe
TO,2032,RESBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,2032,RESBDGDCOPRDDLAENWELC_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2032,RESBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2032,RESBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2032,RESBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AveragePipe
TO,2032,RESBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,2032,RESBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,2033,COMBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,2033,COMBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2033,COMBDGDCOPRDDLAENWELC_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2033,COMBDGDCOPRDHEPLARHWP_EX,2015,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2033,COMBDGDCOSTGHTSMEDCW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,2033,COMBDGDHEAVGPIP___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AveragePipe
TO,2033,COMBDGDHEAVGSUB___HW_EX,2015,0.0,k$/TJ,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2033,COMBDGDHEPRDBOILARNGA_EX,2015,0.19706944444444446,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2033,PUBBDGDCOAVGPIP___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AveragePipe
TO,2033,PUBBDGDCOAVGSUB___CW_EX,2015,0.0,k$/TJ,PublicBuildingDistrict CoolingToronto AverageSubstation
