"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,NewOld,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2018,Public,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,0.010439241348551074
2018,Public,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5882.051610685316
2018,Public,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,496.37162259524354
2018,Public,Old,Space Heating,___,___,District Heating,___,TJ,1501.2793456905251
2018,Public,Old,Water Heating,___,___,District Heating,___,TJ,321.60667809218853
2018,Public,Old,Water Heating,___,___,Electricity,Standard,TJ,29.341724957053277
2018,Public,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.8532528334007392
2018,Public,Old,Water Heating,___,___,Kerosene,Standard,TJ,0.8532774937655218
2018,Public,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,50.89235737436742
2018,Public,Old,Water Heating,___,___,Natural Gas,Standard,TJ,802.9137923711838
2018,Residential,Old,Other Appliances,Other,___,Electricity,Standard,TJ,3673.466593782076
2018,Residential,Old,Clothe Dryer,___,___,Electricity,Standard,TJ,1875.588942085359
2018,Residential,Old,Clothe Dryer,___,___,Natural Gas,Standard,TJ,82.63967008671214
2018,Residential,Old,Clothe Washer,___,___,Electricity,Standard,TJ,95.15869776533152
2018,Residential,Old,Dish Washer,___,___,Electricity,Standard,TJ,128.13820507038622
2018,Residential,Old,Freezer,___,___,Electricity,Standard,TJ,346.4302974737489
2018,Residential,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,95.64032130523132
2018,Residential,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,795.5259894287065
2018,Residential,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,231.1073840418494
2018,Residential,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,742.3085248708085
2018,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,15.381823756628782
2018,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,14.618937779380346
2018,Residential,Old,Range,___,___,Electricity,Standard,TJ,1451.13166862437
2018,Residential,Old,Range,___,___,Natural Gas,Standard,TJ,63.90555605807399
2018,Residential,Old,Refrigerator,___,___,Electricity,Standard,TJ,1089.1268813837535
2018,Residential,Old,Space Cooling,Central,___,Electricity,Standard,TJ,10304.892362172386
2018,Residential,Old,Space Cooling,Room,___,Electricity,Standard,TJ,642.5564624034371
2018,Residential,Old,Space Cooling,___,___,District Cooling,___,TJ,87.64565004389846
2018,Residential,Old,Space Heating,Furnace,___,Biomass,Standard,TJ,159.32900278544815
2018,Residential,Old,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.4971566285985069
2018,Residential,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.3922386606073266
2018,Residential,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,136.18621735896562
2018,Residential,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,38679.802122514695
2018,Residential,Old,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12481.21934657394
2018,Residential,Old,Space Heating,Furnace,___,Propane,Standard,TJ,0.4680182334961398
2018,Residential,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3930.129781358572
2018,Residential,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,2284.463050919435
2018,Residential,Old,Space Heating,___,___,District Heating,___,TJ,188.64529625397515
2018,Residential,Old,Water Heating,___,___,Biomass,Standard,TJ,254.52284472747192
2018,Residential,Old,Water Heating,___,___,Wood Pellet,Standard,TJ,263.21002958249494
2018,Residential,Old,Water Heating,___,___,District Heating,___,TJ,839.8307525470535
2018,Residential,Old,Water Heating,___,___,Electricity,Standard,TJ,798.034456807735
2018,Residential,Old,Water Heating,___,___,Kerosene,Standard,TJ,231.69895730431523
2018,Residential,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,276.05742092091566
2018,Residential,Old,Water Heating,___,___,Natural Gas,Standard,TJ,14885.513060765028
2018,Residential,Old,Water Heating,___,___,Propane,Standard,TJ,259.9764585961374
2019,Commercial,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17512.983704931754
2019,Commercial,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1760.7931882179842
2019,Commercial,Old,Auxiliary Equipment,___,___,Propane,Standard,TJ,979.531330827709
2019,Commercial,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,2193.321004761453
2019,Commercial,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1336.3974971595005
2019,Commercial,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9763.359548645009
