regions,periods,tech,maxact,maxact_unites,max_act_notes
TO,2040,COMBDGHLCNewSHFUR___STDLFO_16,0,,
TO,2040,COMBDGHLCNewSHFUR___STDLFO_23,0,,
TO,2040,COMBDGHLCNewSHFUR___STDNGA_16,0,,
TO,2040,COMBDGHLCNewSHFUR___STDNGA_23,0,,
TO,2040,COMBDGHLCNewSHFUR___STDPRO_16,0,,
TO,2040,COMBDGHLCNewSHFUR___STDPRO_23,0,,
TO,2040,COMBDGHLCNewSHFURLARSTDHH2_23,0,,
TO,2040,COMBDGHLCNewSHFURMEDSTDHH2_23,0,,
TO,2040,COMBDGHLCNewSHFURSMASTDHH2_23,0,,
TO,2040,COMBDGHLCNewSHHEP___STDNGA_23,0,,
TO,2040,COMBDGHLCNewSHPLT___STDELC_16,0,,
TO,2040,COMBDGHLCNewSHPLT1000WSTDELC_23,0,,
TO,2040,COMBDGHLCNewSHPLT1500WSTDELC_23,0,,
TO,2040,COMBDGHLCNewSHPLT500WSTDELC_23,0,,
TO,2040,COMBDGHLCNewWH______STDELC_16,0,,
TO,2040,COMBDGHLCNewWH______STDHFO_16,0,,
TO,2040,COMBDGHLCNewWH______STDKER_16,0,,
TO,2040,COMBDGHLCNewWH______STDLFO_16,0,,
TO,2040,COMBDGHLCNewWH______STDNGA_16,0,,
TO,2040,COMBDGHLCNewWH______STDPRO_16,0,,
TO,2040,COMBDGHLCNewWHSTHBCKSTDELC_23,0,,
TO,2040,COMBDGHLCNewWHSTHBCKSTDNGA_23,0,,
TO,2040,COMBDGHLCNewWHSYS___ESRPRO_23,0,,
TO,2040,COMBDGHLCNewWHSYS___STDBMA_23,0,,
TO,2040,COMBDGHLCNewWHSYS___STDBWP_23,0,,
TO,2040,COMBDGHLCNewWHSYS___STDHFO_23,0,,
TO,2040,COMBDGHLCNewWHSYS___STDKER_23,0,,
TO,2040,COMBDGHLCNewWHSYS___STDLFO_23,0,,
TO,2040,COMBDGHLCNewWHWTK___ESRNGA_23,0,,
TO,2040,COMBDGHLCNewWHWTK___HIGELC_23,0,,
TO,2040,COMBDGHLCNewWHWTK___HIGNGA_23,0,,
TO,2040,COMBDGHLCNewWHWTK___STDELC_23,0,,
TO,2040,COMBDGHLCNewWHWTK___STDNGA_23,0,,
TO,2040,COMBDGHLCOldSHFUR___ESRNGA_23,0,,
TO,2040,COMBDGHLCOldSHFUR___ESRPRO_23,0,,
TO,2040,COMBDGHLCOldSHFUR___HIGHFO_23,0,,
TO,2040,COMBDGHLCOldSHFUR___HIGLFO_23,0,,
TO,2040,COMBDGHLCOldSHFUR___HIGNGA_16,0,,
TO,2040,COMBDGHLCOldSHFUR___HIGNGA_23,0,,
TO,2040,COMBDGHLCOldSHFUR___HIGPRO_23,0,,
TO,2040,COMBDGHLCOldSHFUR___STDELC_16,0,,
TO,2040,COMBDGHLCOldSHFUR___STDELC_23,0,,
TO,2040,COMBDGHLCOldSHFUR___STDHFO_16,0,,
TO,2040,COMBDGHLCOldSHFUR___STDHFO_23,0,,
TO,2040,COMBDGHLCOldSHFUR___STDKER_16,0,,
TO,2040,COMBDGHLCOldSHFUR___STDKER_23,0,,
TO,2040,COMBDGHLCOldSHFUR___STDLFO_16,0,,
TO,2040,COMBDGHLCOldSHFUR___STDLFO_23,0,,
TO,2040,COMBDGHLCOldSHFUR___STDNGA_16,0,,
TO,2040,COMBDGHLCOldSHFUR___STDNGA_23,0,,
TO,2040,COMBDGHLCOldSHFUR___STDPRO_16,0,,
TO,2040,COMBDGHLCOldSHFUR___STDPRO_23,0,,
TO,2040,COMBDGHLCOldSHFURLARSTDHH2_23,0,,
TO,2040,COMBDGHLCOldSHFURMEDSTDHH2_23,0,,
TO,2040,COMBDGHLCOldSHFURSMASTDHH2_23,0,,
TO,2040,COMBDGHLCOldSHHEP___STDNGA_23,0,,
