comm_name,flag,comm_desc
ADEMPASTRAINHSROABUSIUBGOB,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadInter-city BusesInter Urban BusGo Bus
ADEMPASTRAINHSROABUSURBTBU,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadInter-city BusesUrban Bus TTC Bus
ADEMPASTRAINHSROABUSURBWTB,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadInter-city BusesUrban Bus TTC Wheel trans para
ADEMPASTRAINHSROABUSIUBMWAY,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadInter-city BusesInter Urban BusMiway Bus
ADEMPASTRAINHSROABUSIUBVIVA,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadInter-city BusesInter Urban BusViva Bus
ADEMPASTRAINHSROABUSIUBDURT,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadInter-city BusesInter Urban BusDurham RT
ADEMPASTRAINHSROABUSSCB___,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadInter-city BusesSchool Bus
ADEMPASTRAINHSROACAR___RSH,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadCarsPaid Ridershare
ADEMPASTRAINHSROACAR___TAX,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadCarsTaxi passenger
ADEMPASTRAINHSROACAR___ADR,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadCarsAuto driver
ADEMPASTRAINHSROACAR___APG,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadCarsAuto passenger
ADEMPASTRAINHSROATRULGTRSH,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadTruckPassenger Light TrucksPaid Ridershare
ADEMPASTRAINHSROATRULGTTAX,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadTruckPassenger Light TrucksTaxi passenger
ADEMPASTRAINHSROATRULGTADR,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadTruckPassenger Light TrucksAuto driver
ADEMPASTRAINHSROATRULGTAPG,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadTruckPassenger Light TrucksAuto passenger
ADEMPASTRAINHSROAMOR______,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadMotorcycles
ADEMPASTRAINHSROAWAL______,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadWalk
ADEMPASTRAINHSROABIK______,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRoadBicycle
ADEMPASTRAINHORAIREG___GOR,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRailRegionalGO rail
ADEMPASTRAINHORAIREG___UPX,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRailRegionalUp Express
ADEMPASTRAINHORAISUB___TSU,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRailSubwaySubway
ADEMPASTRAINHORAITRM___TST,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRailTramwayStreetcar
ADEMPASTRAINHOROABUSIUBGOB,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadInter-city BusesInter Urban BusGo Bus
ADEMPASTRAINHOROABUSURBTBU,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadInter-city BusesUrban Bus TTC Bus
ADEMPASTRAINHOROABUSURBWTB,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadInter-city BusesUrban Bus TTC Wheel trans para
ADEMPASTRAINHOROABUSIUBMWAY,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadInter-city BusesInter Urban BusMiway Bus
ADEMPASTRAINHOROABUSIUBVIVA,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadInter-city BusesInter Urban BusViva Bus
ADEMPASTRAINHOROABUSIUBDURT,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadInter-city BusesInter Urban BusDurham RT
ADEMPASTRAINHOROABUSSCB___,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadInter-city BusesSchool Bus
ADEMPASTRAINHOROACAR___RSH,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadCarsPaid Ridershare
ADEMPASTRAINHOROACAR___TAX,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadCarsTaxi passenger
ADEMPASTRAINHOROACAR___ADR,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadCarsAuto driver
ADEMPASTRAINHOROACAR___APG,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadCarsAuto passenger
ADEMPASTRAINHOROATRULGTRSH,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadTruckPassenger Light TrucksPaid Ridershare
ADEMPASTRAINHOROATRULGTTAX,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadTruckPassenger Light TrucksTaxi passenger
ADEMPASTRAINHOROATRULGTADR,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadTruckPassenger Light TrucksAuto driver
ADEMPASTRAINHOROATRULGTAPG,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadTruckPassenger Light TrucksAuto passenger
ADEMPASTRAINHOROAMOR______,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadMotorcycles
ADEMPASTRAINHOROAWAL______,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadWalk
ADEMPASTRAINHOROABIK______,p,Aggregated DemandPassengerTransportationIn BoundaryHome OtherRoadBicycle
ADEMPASTRAINNHRAIREG___GOR,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRailRegionalGO rail
ADEMPASTRAINNHRAIREG___UPX,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRailRegionalUp Express
ADEMPASTRAINNHRAISUB___TSU,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRailSubwaySubway
ADEMPASTRAINNHRAITRM___TST,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRailTramwayStreetcar
ADEMPASTRAINNHROABUSIUBGOB,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadInter-city BusesInter Urban BusGo Bus
ADEMPASTRAINNHROABUSURBTBU,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadInter-city BusesUrban Bus TTC Bus
ADEMPASTRAINNHROABUSURBWTB,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadInter-city BusesUrban Bus TTC Wheel trans para
ADEMPASTRAINNHROABUSIUBMWAY,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadInter-city BusesInter Urban BusMiway Bus
ADEMPASTRAINNHROABUSIUBVIVA,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadInter-city BusesInter Urban BusViva Bus
ADEMPASTRAINNHROABUSIUBDURT,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadInter-city BusesInter Urban BusDurham RT
ADEMPASTRAINNHROABUSSCB___,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadInter-city BusesSchool Bus
ADEMPASTRAINNHROACAR___RSH,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadCarsPaid Ridershare
ADEMPASTRAINNHROACAR___TAX,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadCarsTaxi passenger
ADEMPASTRAINNHROACAR___ADR,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadCarsAuto driver
ADEMPASTRAINNHROACAR___APG,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadCarsAuto passenger
ADEMPASTRAINNHROATRULGTRSH,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadTruckPassenger Light TrucksPaid Ridershare
ADEMPASTRAINNHROATRULGTTAX,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadTruckPassenger Light TrucksTaxi passenger
ADEMPASTRAINNHROATRULGTADR,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadTruckPassenger Light TrucksAuto driver
ADEMPASTRAINNHROATRULGTAPG,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadTruckPassenger Light TrucksAuto passenger
ADEMPASTRAINNHROAMOR______,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadMotorcycles
ADEMPASTRAINNHROAWAL______,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadWalk
ADEMPASTRAINNHROABIK______,p,Aggregated DemandPassengerTransportationIn BoundaryNon Home basedRoadBicycle
ADEMPASTRAEXIHWRAIREG___GOR,p,Aggregated DemandPassengerTransportationExternal INHome WorkRailRegionalGO rail
ADEMPASTRAEXIHWRAIREG___UPX,p,Aggregated DemandPassengerTransportationExternal INHome WorkRailRegionalUp Express
ADEMPASTRAEXIHWRAISUB___TSU,p,Aggregated DemandPassengerTransportationExternal INHome WorkRailSubwaySubway
ADEMPASTRAEXIHWRAITRM___TST,p,Aggregated DemandPassengerTransportationExternal INHome WorkRailTramwayStreetcar
ADEMPASTRAEXIHWROABUSIUBGOB,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadInter-city BusesInter Urban BusGo Bus
ADEMPASTRAEXIHWROABUSURBTBU,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadInter-city BusesUrban Bus TTC Bus
ADEMPASTRAEXIHWROABUSURBWTB,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadInter-city BusesUrban Bus TTC Wheel trans para
ADEMPASTRAEXIHWROABUSIUBMWAY,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadInter-city BusesInter Urban BusMiway Bus
ADEMPASTRAEXIHWROABUSIUBVIVA,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadInter-city BusesInter Urban BusViva Bus
ADEMPASTRAEXIHWROABUSIUBDURT,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadInter-city BusesInter Urban BusDurham RT
ADEMPASTRAEXIHWROABUSSCB___,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadInter-city BusesSchool Bus
ADEMPASTRAEXIHWROACAR___RSH,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadCarsPaid Ridershare
ADEMPASTRAEXIHWROACAR___TAX,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadCarsTaxi passenger
ADEMPASTRAEXIHWROACAR___ADR,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadCarsAuto driver
ADEMPASTRAEXIHWROACAR___APG,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadCarsAuto passenger
ADEMPASTRAEXIHWROATRULGTRSH,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadTruckPassenger Light TrucksPaid Ridershare
ADEMPASTRAEXIHWROATRULGTTAX,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadTruckPassenger Light TrucksTaxi passenger
ADEMPASTRAEXIHWROATRULGTADR,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadTruckPassenger Light TrucksAuto driver
ADEMPASTRAEXIHWROATRULGTAPG,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadTruckPassenger Light TrucksAuto passenger
ADEMPASTRAEXIHWROAMOR______,p,Aggregated DemandPassengerTransportationExternal INHome WorkRoadMotorcycles
