tech,flag,sector,tech_desc,tech_category
RESBDGSDE2035SC,p,RESBDG,ResidentialBuildingSingle Detached2035Space Cooling,
RESBDGSDE2040SC,p,RESBDG,ResidentialBuildingSingle Detached2040Space Cooling,
RESBDGSDE2045SC,p,RESBDG,ResidentialBuildingSingle Detached2045Space Cooling,
RESBDGSAT1960SC,p,RESBDG,ResidentialBuildingSingle Attached1960Space Cooling,
RESBDGSAT1977SC,p,RESBDG,ResidentialBuildingSingle Attached1977Space Cooling,
RESBDGSAT1983SC,p,RESBDG,ResidentialBuildingSingle Attached1983Space Cooling,
RESBDGSAT1995SC,p,RESBDG,ResidentialBuildingSingle Attached1995Space Cooling,
RESBDGSAT2000SC,p,RESBDG,ResidentialBuildingSingle Attached2000Space Cooling,
RESBDGSAT2005SC,p,RESBDG,ResidentialBuildingSingle Attached2005Space Cooling,
RESBDGSAT2010SC,p,RESBDG,ResidentialBuildingSingle Attached2010Space Cooling,
RESBDGSAT2015SC,p,RESBDG,ResidentialBuildingSingle Attached2015Space Cooling,
RESBDGSAT2020SC,p,RESBDG,ResidentialBuildingSingle Attached2020Space Cooling,
RESBDGSAT2025SC,p,RESBDG,ResidentialBuildingSingle Attached2025Space Cooling,
RESBDGSAT2030SC,p,RESBDG,ResidentialBuildingSingle Attached2030Space Cooling,
RESBDGSAT2035SC,p,RESBDG,ResidentialBuildingSingle Attached2035Space Cooling,
RESBDGSAT2040SC,p,RESBDG,ResidentialBuildingSingle Attached2040Space Cooling,
RESBDGSAT2045SC,p,RESBDG,ResidentialBuildingSingle Attached2045Space Cooling,
RESBDGAPA1960SH,p,RESBDG,ResidentialBuildingApartments1960Space Heating,
RESBDGAPA1977SH,p,RESBDG,ResidentialBuildingApartments1977Space Heating,
RESBDGAPA1983SH,p,RESBDG,ResidentialBuildingApartments1983Space Heating,
RESBDGAPA1995SH,p,RESBDG,ResidentialBuildingApartments1995Space Heating,
RESBDGAPA2000SH,p,RESBDG,ResidentialBuildingApartments2000Space Heating,
RESBDGAPA2005SH,p,RESBDG,ResidentialBuildingApartments2005Space Heating,
RESBDGAPA2010SH,p,RESBDG,ResidentialBuildingApartments2010Space Heating,
RESBDGAPA2015SH,p,RESBDG,ResidentialBuildingApartments2015Space Heating,
RESBDGAPA2020SH,p,RESBDG,ResidentialBuildingApartments2020Space Heating,
RESBDGAPA2025SH,p,RESBDG,ResidentialBuildingApartments2025Space Heating,
RESBDGAPA2030SH,p,RESBDG,ResidentialBuildingApartments2030Space Heating,
RESBDGAPA2035SH,p,RESBDG,ResidentialBuildingApartments2035Space Heating,
RESBDGAPA2040SH,p,RESBDG,ResidentialBuildingApartments2040Space Heating,
RESBDGAPA2045SH,p,RESBDG,ResidentialBuildingApartments2045Space Heating,
