regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMRESBDGSDE1960SC,154.749,kunits,Aggregated DemandResidentialBuildingSingle Detached1960Space Cooling
TO,2016,ADEMRESBDGSDE1977SC,84.437,kunits,Aggregated DemandResidentialBuildingSingle Detached1977Space Cooling
TO,2016,ADEMRESBDGSDE1983SC,12.914,kunits,Aggregated DemandResidentialBuildingSingle Detached1983Space Cooling
TO,2016,ADEMRESBDGSDE1995SC,21.308,kunits,Aggregated DemandResidentialBuildingSingle Detached1995Space Cooling
TO,2016,ADEMRESBDGSDE2000SC,4.238,kunits,Aggregated DemandResidentialBuildingSingle Detached2000Space Cooling
TO,2016,ADEMRESBDGSDE2005SC,6.33,kunits,Aggregated DemandResidentialBuildingSingle Detached2005Space Cooling
TO,2016,ADEMRESBDGSDE2010SC,7.727,kunits,Aggregated DemandResidentialBuildingSingle Detached2010Space Cooling
TO,2016,ADEMRESBDGSDE2015SC,11.604,kunits,Aggregated DemandResidentialBuildingSingle Detached2015Space Cooling
TO,2016,ADEMRESBDGSDE2020SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2020Space Cooling
TO,2016,ADEMRESBDGSDE2025SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2025Space Cooling
TO,2016,ADEMRESBDGSDE2030SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2030Space Cooling
TO,2016,ADEMRESBDGSDE2035SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2035Space Cooling
TO,2016,ADEMRESBDGSDE2040SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2040Space Cooling
TO,2016,ADEMRESBDGSDE2045SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2045Space Cooling
TO,2016,ADEMRESBDGSAT1960SC,71.873,kunits,Aggregated DemandResidentialBuildingSingle Attached1960Space Cooling
TO,2016,ADEMRESBDGSAT1977SC,46.425,kunits,Aggregated DemandResidentialBuildingSingle Attached1977Space Cooling
TO,2016,ADEMRESBDGSAT1983SC,12.109,kunits,Aggregated DemandResidentialBuildingSingle Attached1983Space Cooling
TO,2016,ADEMRESBDGSAT1995SC,3.769,kunits,Aggregated DemandResidentialBuildingSingle Attached1995Space Cooling
TO,2016,ADEMRESBDGSAT2000SC,2.052,kunits,Aggregated DemandResidentialBuildingSingle Attached2000Space Cooling
TO,2016,ADEMRESBDGSAT2005SC,8.907,kunits,Aggregated DemandResidentialBuildingSingle Attached2005Space Cooling
TO,2016,ADEMRESBDGSAT2010SC,13.81,kunits,Aggregated DemandResidentialBuildingSingle Attached2010Space Cooling
TO,2016,ADEMRESBDGSAT2015SC,22.039,kunits,Aggregated DemandResidentialBuildingSingle Attached2015Space Cooling
TO,2016,ADEMRESBDGSAT2020SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2020Space Cooling
TO,2016,ADEMRESBDGSAT2025SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2025Space Cooling
TO,2016,ADEMRESBDGSAT2030SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2030Space Cooling
TO,2016,ADEMRESBDGSAT2035SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2035Space Cooling
TO,2016,ADEMRESBDGSAT2040SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2040Space Cooling
TO,2016,ADEMRESBDGSAT2045SC,0.0,kunits,Aggregated DemandResidentialBuildingSingle Attached2045Space Cooling
TO,2016,ADEMRESBDGAPA1960APL,44.656,kunits,Aggregated DemandResidentialBuildingApartments1960Appliances
TO,2016,ADEMRESBDGAPA1977APL,237.215,kunits,Aggregated DemandResidentialBuildingApartments1977Appliances
TO,2016,ADEMRESBDGAPA1983APL,26.506,kunits,Aggregated DemandResidentialBuildingApartments1983Appliances
TO,2016,ADEMRESBDGAPA1995APL,51.516,kunits,Aggregated DemandResidentialBuildingApartments1995Appliances
TO,2016,ADEMRESBDGAPA2000APL,13.496,kunits,Aggregated DemandResidentialBuildingApartments2000Appliances
TO,2016,ADEMRESBDGAPA2005APL,14.438,kunits,Aggregated DemandResidentialBuildingApartments2005Appliances
TO,2016,ADEMRESBDGAPA2010APL,33.354,kunits,Aggregated DemandResidentialBuildingApartments2010Appliances
TO,2016,ADEMRESBDGAPA2015APL,194.291,kunits,Aggregated DemandResidentialBuildingApartments2015Appliances
TO,2016,ADEMRESBDGAPA2020APL,0.0,kunits,Aggregated DemandResidentialBuildingApartments2020Appliances
TO,2016,ADEMRESBDGAPA2025APL,0.0,kunits,Aggregated DemandResidentialBuildingApartments2025Appliances
TO,2016,ADEMRESBDGAPA2030APL,0.0,kunits,Aggregated DemandResidentialBuildingApartments2030Appliances
TO,2016,ADEMRESBDGAPA2035APL,0.0,kunits,Aggregated DemandResidentialBuildingApartments2035Appliances
TO,2016,ADEMRESBDGAPA2040APL,0.0,kunits,Aggregated DemandResidentialBuildingApartments2040Appliances
