comm_name,flag,comm_desc
ADEMRESBDGSAT2010FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2010Freezer
ADEMRESBDGSAT2015FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2015Freezer
ADEMRESBDGSAT2020FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2020Freezer
ADEMRESBDGSAT2025FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2025Freezer
ADEMRESBDGSAT2030FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2030Freezer
ADEMRESBDGSAT2035FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2035Freezer
ADEMRESBDGSAT2040FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2040Freezer
ADEMRESBDGSAT2045FRZ,d,Aggregated DemandResidentialBuildingSingle Attached2045Freezer
ADEMRESBDGAPA1960CWA,d,Aggregated DemandResidentialBuildingApartments1960Clothe Washer
ADEMRESBDGAPA1977CWA,d,Aggregated DemandResidentialBuildingApartments1977Clothe Washer
ADEMRESBDGAPA1983CWA,d,Aggregated DemandResidentialBuildingApartments1983Clothe Washer
ADEMRESBDGAPA1995CWA,d,Aggregated DemandResidentialBuildingApartments1995Clothe Washer
ADEMRESBDGAPA2000CWA,d,Aggregated DemandResidentialBuildingApartments2000Clothe Washer
ADEMRESBDGAPA2005CWA,d,Aggregated DemandResidentialBuildingApartments2005Clothe Washer
ADEMRESBDGAPA2010CWA,d,Aggregated DemandResidentialBuildingApartments2010Clothe Washer
ADEMRESBDGAPA2015CWA,d,Aggregated DemandResidentialBuildingApartments2015Clothe Washer
ADEMRESBDGAPA2020CWA,d,Aggregated DemandResidentialBuildingApartments2020Clothe Washer
ADEMRESBDGAPA2025CWA,d,Aggregated DemandResidentialBuildingApartments2025Clothe Washer
ADEMRESBDGAPA2030CWA,d,Aggregated DemandResidentialBuildingApartments2030Clothe Washer
ADEMRESBDGAPA2035CWA,d,Aggregated DemandResidentialBuildingApartments2035Clothe Washer
ADEMRESBDGAPA2040CWA,d,Aggregated DemandResidentialBuildingApartments2040Clothe Washer
ADEMRESBDGAPA2045CWA,d,Aggregated DemandResidentialBuildingApartments2045Clothe Washer
ADEMRESBDGSDE1960CWA,d,Aggregated DemandResidentialBuildingSingle Detached1960Clothe Washer
ADEMRESBDGSDE1977CWA,d,Aggregated DemandResidentialBuildingSingle Detached1977Clothe Washer
ADEMRESBDGSDE1983CWA,d,Aggregated DemandResidentialBuildingSingle Detached1983Clothe Washer
ADEMRESBDGSDE1995CWA,d,Aggregated DemandResidentialBuildingSingle Detached1995Clothe Washer
