regions,tech,vintage,exist_cap,exist_cap_units,exist_cap_notes
TO,RESBDGSDE2010LI,2015,10000000000,,ResidentialBuildingSingle Detached2010Lighting
TO,RESBDGSDE2015LI,2015,10000000000,,ResidentialBuildingSingle Detached2015Lighting
TO,RESBDGSDE2020LI,2015,10000000000,,ResidentialBuildingSingle Detached2020Lighting
TO,RESBDGSDE2025LI,2015,10000000000,,ResidentialBuildingSingle Detached2025Lighting
TO,RESBDGSDE2030LI,2015,10000000000,,ResidentialBuildingSingle Detached2030Lighting
TO,RESBDGSDE2035LI,2015,10000000000,,ResidentialBuildingSingle Detached2035Lighting
TO,RESBDGSDE2040LI,2015,10000000000,,ResidentialBuildingSingle Detached2040Lighting
TO,RESBDGSDE2045LI,2015,10000000000,,ResidentialBuildingSingle Detached2045Lighting
TO,RESBDGSAT1960LI,2015,10000000000,,ResidentialBuildingSingle Attached1960Lighting
TO,RESBDGSAT1977LI,2015,10000000000,,ResidentialBuildingSingle Attached1977Lighting
TO,RESBDGSAT1983LI,2015,10000000000,,ResidentialBuildingSingle Attached1983Lighting
TO,RESBDGSAT1995LI,2015,10000000000,,ResidentialBuildingSingle Attached1995Lighting
TO,RESBDGSAT2000LI,2015,10000000000,,ResidentialBuildingSingle Attached2000Lighting
TO,RESBDGSAT2005LI,2015,10000000000,,ResidentialBuildingSingle Attached2005Lighting
TO,RESBDGSAT2010LI,2015,10000000000,,ResidentialBuildingSingle Attached2010Lighting
TO,RESBDGSAT2015LI,2015,10000000000,,ResidentialBuildingSingle Attached2015Lighting
TO,RESBDGSAT2020LI,2015,10000000000,,ResidentialBuildingSingle Attached2020Lighting
TO,RESBDGSAT2025LI,2015,10000000000,,ResidentialBuildingSingle Attached2025Lighting
TO,RESBDGSAT2030LI,2015,10000000000,,ResidentialBuildingSingle Attached2030Lighting
TO,RESBDGSAT2035LI,2015,10000000000,,ResidentialBuildingSingle Attached2035Lighting
TO,RESBDGSAT2040LI,2015,10000000000,,ResidentialBuildingSingle Attached2040Lighting
TO,RESBDGSAT2045LI,2015,10000000000,,ResidentialBuildingSingle Attached2045Lighting
TO,RESBDGAPA1960SC,2015,10000000000,,ResidentialBuildingApartments1960Space Cooling
TO,RESBDGAPA1977SC,2015,10000000000,,ResidentialBuildingApartments1977Space Cooling
TO,RESBDGAPA1983SC,2015,10000000000,,ResidentialBuildingApartments1983Space Cooling
TO,RESBDGAPA1995SC,2015,10000000000,,ResidentialBuildingApartments1995Space Cooling
TO,RESBDGAPA2000SC,2015,10000000000,,ResidentialBuildingApartments2000Space Cooling
TO,RESBDGAPA2005SC,2015,10000000000,,ResidentialBuildingApartments2005Space Cooling
TO,RESBDGAPA2010SC,2015,10000000000,,ResidentialBuildingApartments2010Space Cooling
TO,RESBDGAPA2015SC,2015,10000000000,,ResidentialBuildingApartments2015Space Cooling
TO,RESBDGAPA2020SC,2015,10000000000,,ResidentialBuildingApartments2020Space Cooling
TO,RESBDGAPA2025SC,2015,10000000000,,ResidentialBuildingApartments2025Space Cooling
TO,RESBDGAPA2030SC,2015,10000000000,,ResidentialBuildingApartments2030Space Cooling
TO,RESBDGAPA2035SC,2015,10000000000,,ResidentialBuildingApartments2035Space Cooling
TO,RESBDGAPA2040SC,2015,10000000000,,ResidentialBuildingApartments2040Space Cooling
TO,RESBDGAPA2045SC,2015,10000000000,,ResidentialBuildingApartments2045Space Cooling
TO,RESBDGSDE1960SC,2015,10000000000,,ResidentialBuildingSingle Detached1960Space Cooling
TO,RESBDGSDE1977SC,2015,10000000000,,ResidentialBuildingSingle Detached1977Space Cooling
TO,RESBDGSDE1983SC,2015,10000000000,,ResidentialBuildingSingle Detached1983Space Cooling
TO,RESBDGSDE1995SC,2015,10000000000,,ResidentialBuildingSingle Detached1995Space Cooling
TO,RESBDGSDE2000SC,2015,10000000000,,ResidentialBuildingSingle Detached2000Space Cooling
TO,RESBDGSDE2005SC,2015,10000000000,,ResidentialBuildingSingle Detached2005Space Cooling
TO,RESBDGSDE2010SC,2015,10000000000,,ResidentialBuildingSingle Detached2010Space Cooling
TO,RESBDGSDE2015SC,2015,10000000000,,ResidentialBuildingSingle Detached2015Space Cooling
TO,RESBDGSDE2020SC,2015,10000000000,,ResidentialBuildingSingle Detached2020Space Cooling
TO,RESBDGSDE2025SC,2015,10000000000,,ResidentialBuildingSingle Detached2025Space Cooling
TO,RESBDGSDE2030SC,2015,10000000000,,ResidentialBuildingSingle Detached2030Space Cooling
