Marginal cost of local energy production (k$/TJ)
Period,Subsector,Energy,Marginal_Costs
2035,Industrial building,District Cooling,12.873979679325167
2035,Industrial building,District Heating,45.66316676015033
2035,Industrial building,Electricity,45.663802759093585
2035,Long distance transportation,Electricity,150.4806618334825
2035,Passenger transportation,Bio Methane,-8123.492668056698
2035,Passenger transportation,Electricity,-12333.683228471291
2035,Public building,Bio Methane,61.00625932208415
2035,Public building,District Cooling,65.43564077296888
2035,Public building,District Heating,69.71720298084472
2035,Public building,Electricity,66.56186978868439
2035,Public transportation,Bio Methane,61.004953911127636
2035,Public transportation,Electricity,137.80081968872273
2035,Residential building,Bio Methane,60.99662598060903
2035,Residential building,District Cooling,-41.06096238804646
2035,Residential building,District Heating,56.6825819564785
2035,Residential building,Electricity,47.5501099271915
2035,Solid waste,Bio Methane,5.332017071150936
2035,Solid waste,Electricity,-63.924437579224765
2035,Water waste,Bio Methane,58.318244873589705
2035,Water waste,Electricity,152.59259786462084
2040,Commercial building,Bio Methane,56.750341777866424
2040,Commercial building,District Cooling,99.58478213212436
2040,Commercial building,District Heating,52.87359443795135
2040,Commercial building,Electricity,64.5876882726115
2040,Freight transportation,Bio Methane,54.5516146921303
2040,Freight transportation,Electricity,125.03069535571122
2040,Industrial building,Bio Methane,52.42588126011978
2040,Industrial building,District Cooling,11.817417982107296
2040,Industrial building,District Heating,41.91590821684211
2040,Industrial building,Electricity,41.91654779831872
2040,Long distance transportation,Electricity,140.12851955093632
2040,Passenger transportation,Bio Methane,-6006.19693797391
2040,Passenger transportation,Electricity,-8509.48828189786
2040,Public building,Bio Methane,56.74752120299524
2040,Public building,District Cooling,28.379099823380102
2040,Public building,District Heating,68.25517941210859
2040,Public building,Electricity,61.44373330671415
2040,Public transportation,Bio Methane,56.74753936391729
2040,Public transportation,Electricity,144.54136598173574
2040,Residential building,Bio Methane,56.62780126587839
2040,Residential building,District Cooling,104.67455656030621
2040,Residential building,District Heating,58.90865006311019
2040,Residential building,Electricity,43.365026138051896
2040,Solid waste,Bio Methane,1.002794136592226
2040,Solid waste,Electricity,-75.01602188691305
2040,Water waste,Bio Methane,54.431909799187295
2040,Water waste,Electricity,141.75290417391915
2045,Commercial building,Bio Methane,60.00292822216377
2045,Commercial building,District Cooling,87.21514086826751
2045,Commercial building,District Heating,54.39747458796924
2045,Commercial building,Electricity,73.25148238856342
2045,Freight transportation,Bio Methane,59.998535169596806
2045,Freight transportation,Electricity,128.0916490879986
2045,Industrial building,Bio Methane,51.93506717971893
2045,Industrial building,District Cooling,10.693757537763103
2045,Industrial building,District Heating,37.930674728547444
2045,Industrial building,Electricity,37.931311427177135
2045,Long distance transportation,Electricity,128.00108991415036
2045,Passenger transportation,Bio Methane,-6608.507815936675
2045,Passenger transportation,Electricity,-8438.218296736502
2045,Public building,Bio Methane,59.94609789867784
2045,Public building,District Cooling,25.07374044531771
2045,Public building,District Heating,62.62058751663522
2045,Public building,Electricity,55.80246098173353
2045,Public transportation,Bio Methane,59.97278507186127
2045,Public transportation,Electricity,131.92492145756646
2045,Residential building,Bio Methane,59.72482879184049
2045,Residential building,District Cooling,60.03260568575186
2045,Residential building,District Heating,53.12175028093924
2045,Residential building,Electricity,39.077052397174164
2045,Solid waste,Bio Methane,3.6417509193386963
2045,Solid waste,Electricity,-29.58883328689739
2045,Water waste,Bio Methane,58.00300080929745
2045,Water waste,Electricity,129.26454846847793
2050,Commercial building,Bio Methane,14.018693870000583
2050,Commercial building,District Cooling,16.15015631265244
2050,Commercial building,District Heating,10.062449100005978
2050,Commercial building,Electricity,14.403370568427448
2050,Freight transportation,Bio Methane,14.026817766516903
2050,Freight transportation,Electricity,25.4628926399411
2050,Industrial building,Bio Methane,10.196102045443041
2050,Industrial building,District Cooling,2.037072406401934
2050,Industrial building,District Heating,7.228585391347029
2050,Industrial building,Electricity,7.229235211923165
2050,Long distance transportation,Electricity,24.700146730654417
2050,Passenger transportation,Bio Methane,13.6344004077224
2050,Passenger transportation,Electricity,41.76456614237032
2050,Public building,Bio Methane,13.690459288393974
2050,Public building,District Cooling,4.6791111057917485
2050,Public building,District Heating,11.579862434853752
2050,Public building,Electricity,10.82905757587305
2050,Public transportation,Bio Methane,13.931895557398443
2050,Public transportation,Electricity,25.256399396774967
2050,Residential building,Bio Methane,12.946923675511513
2050,Residential building,District Cooling,8.403755157445266
2050,Residential building,District Heating,9.76764384167454
2050,Residential building,Electricity,7.434689272170537
2050,Solid waste,Bio Methane,0.6771355819548884
2050,Solid waste,Electricity,-30.846835961398206
2050,Water waste,Bio Methane,13.662892043593052
2050,Water waste,Electricity,24.915854009941338
