"Discounted and Undiscounted Investment and fixed Costs for building sector by end use, per vintage. (k CAD 2016)"
vintage,sector,Cost_type,Cost,EndUse,Tech_type_1,Tech_type_2,Efficiency,Energy_cat,Costs
2000,Public Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Natural Gas,1582.0593437564796
2000,Public Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
2000,Public Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,453.07496552693857
2000,Public Building,FixedCosts,Undiscounted,Water Heating,___,___,___,District Heating,0.0
2000,Residential Building,FixedCosts,Discounted,Freezer,___,___,Standard,Electricity,2478.2053741071477
2000,Residential Building,FixedCosts,Discounted,Refrigerator,___,___,Standard,Electricity,2828.788219749335
2000,Residential Building,FixedCosts,Discounted,Space Cooling,Central,___,Standard,Electricity,8330.729966889081
2000,Residential Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
2000,Residential Building,FixedCosts,Discounted,Space Heating,Furnace,___,High,Natural Gas,13480.049574093171
2000,Residential Building,FixedCosts,Discounted,Space Heating,Furnace,___,Medium,Natural Gas,4238.745623715384
2000,Residential Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,218.98423168900496
2000,Residential Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
2000,Residential Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,0.0
2000,Residential Building,FixedCosts,Undiscounted,Freezer,___,___,Standard,Electricity,2664.8768019167537
2000,Residential Building,FixedCosts,Undiscounted,Refrigerator,___,___,Standard,Electricity,2828.7882197493363
2000,Residential Building,FixedCosts,Undiscounted,Space Cooling,Central,___,Standard,Electricity,8453.84420285296
2000,Residential Building,FixedCosts,Undiscounted,Space Cooling,___,___,___,District Cooling,0.0
2000,Residential Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,High,Natural Gas,15127.818287732287
2000,Residential Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Medium,Natural Gas,4756.879654710057
2000,Residential Building,FixedCosts,Undiscounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,252.75711229184995
2000,Residential Building,FixedCosts,Undiscounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
2000,Residential Building,FixedCosts,Undiscounted,Space Heating,___,___,___,District Heating,0.0
2005,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,Standard,Natural Gas,397.0502749324668
2005,Commercial Building,FixedCosts,Discounted,Space Cooling,___,___,___,District Cooling,0.0
2005,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Light Fuel Oil,100.20631113520517
2005,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Natural Gas,11289.40743564254
2005,Commercial Building,FixedCosts,Discounted,Space Heating,Furnace,___,Standard,Propane,358.7848300274235
2005,Commercial Building,FixedCosts,Discounted,Space Heating,Heat Pump,___,Standard,Electricity,2000.0154886640985
2005,Commercial Building,FixedCosts,Discounted,Space Heating,Plinthe,___,Standard,Electricity,0.0
2005,Commercial Building,FixedCosts,Discounted,Space Heating,___,___,___,District Heating,1577.78816603528
