regions,periods,tech,maxact,maxaxt_notes,maxact_notes
TO,2050,COMBDGEDSNewSHFUR___STDLFO_16,0,,
TO,2050,COMBDGEDSNewSHFUR___STDLFO_23,0,,
TO,2050,COMBDGEDSNewSHFUR___STDNGA_16,0,,
TO,2050,COMBDGEDSNewSHFUR___STDNGA_23,0,,
TO,2050,COMBDGEDSNewSHFUR___STDPRO_16,0,,
TO,2050,COMBDGEDSNewSHFUR___STDPRO_23,0,,
TO,2050,COMBDGEDSNewSHFURLARSTDHH2_23,0,,
TO,2050,COMBDGEDSNewSHFURMEDSTDHH2_23,0,,
TO,2050,COMBDGEDSNewSHFURSMASTDHH2_23,0,,
TO,2050,COMBDGEDSNewSHHEP___STDELC_16,0,,
TO,2050,COMBDGEDSNewSHHEP___STDNGA_23,0,,
TO,2050,COMBDGEDSNewSHPLT___STDELC_16,0,,
TO,2050,COMBDGEDSNewSHPLT1000WSTDELC_23,0,,
TO,2050,COMBDGEDSNewSHPLT1500WSTDELC_23,0,,
TO,2050,COMBDGEDSNewSHPLT500WSTDELC_23,0,,
TO,2050,COMBDGEDSNewWH______STDELC_16,0,,
TO,2050,COMBDGEDSNewWH______STDHFO_16,0,,
TO,2050,COMBDGEDSNewWH______STDKER_16,0,,
TO,2050,COMBDGEDSNewWH______STDLFO_16,0,,
TO,2050,COMBDGEDSNewWH______STDNGA_16,0,,
TO,2050,COMBDGEDSNewWH______STDPRO_16,0,,
TO,2050,COMBDGEDSNewWHSTHBCKSTDELC_23,0,,
TO,2050,COMBDGEDSNewWHSTHBCKSTDNGA_23,0,,
TO,2050,COMBDGEDSNewWHSYS___ESRPRO_23,0,,
TO,2050,COMBDGEDSNewWHSYS___STDBMA_23,0,,
TO,2050,COMBDGEDSNewWHSYS___STDBWP_23,0,,
TO,2050,COMBDGEDSNewWHSYS___STDHFO_23,0,,
TO,2050,COMBDGEDSNewWHSYS___STDKER_23,0,,
TO,2050,COMBDGEDSNewWHSYS___STDLFO_23,0,,
TO,2050,COMBDGEDSNewWHWTK___ESRNGA_23,0,,
TO,2050,COMBDGEDSNewWHWTK___HIGELC_23,0,,
TO,2050,COMBDGEDSNewWHWTK___HIGNGA_23,0,,
TO,2050,COMBDGEDSNewWHWTK___STDELC_23,0,,
TO,2050,COMBDGEDSNewWHWTK___STDNGA_23,0,,
TO,2050,COMBDGEDSOldSHFUR___ESRNGA_23,0,,
TO,2050,COMBDGEDSOldSHFUR___ESRPRO_23,0,,
TO,2050,COMBDGEDSOldSHFUR___HIGHFO_23,0,,
TO,2050,COMBDGEDSOldSHFUR___HIGLFO_23,0,,
TO,2050,COMBDGEDSOldSHFUR___HIGNGA_16,0,,
TO,2050,COMBDGEDSOldSHFUR___HIGNGA_23,0,,
TO,2050,COMBDGEDSOldSHFUR___HIGPRO_23,0,,
TO,2050,COMBDGEDSOldSHFUR___STDELC_16,0,,
