GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2019,CO2e,Residential,Single Attached,Old,744538.3206138662
2019,CO2e,Residential,Single Detached,Old,1677507.3989516492
2019,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0154222466419043
2019,N2O,Commercial,Accommodation and Food Services,Old,2.3717871278330445
2019,N2O,Commercial,Educational Services,Old,5.976234105824492
2019,N2O,Commercial,Health Care and Social Assistance,Old,3.8684836549897734
2019,N2O,Commercial,Information and Cultural Industries,Old,0.30782539955353133
2019,N2O,Commercial,Offices,Old,24.036803610167137
2019,N2O,Commercial,Other Services,Old,2.3918311667368886
2019,N2O,Commercial,Retail Trade,Old,7.4345963370852255
2019,N2O,Commercial,Transportation and Warehousing,Old,1.3705532805052516
2019,N2O,Commercial,Wholesale Trade,Old,4.776882944161615
2019,N2O,Industry,,,15.422357914801266
2019,N2O,Public,Hospital,Old,1.6655128579062932
2019,N2O,Public,Municipality,Old,1.462027887275414
2019,N2O,Public,Post-Secondary Institution,Old,2.637510635208312
2019,N2O,Public,School board,Old,2.708988892813242
2019,N2O,Residential,Apartments,Old,32.099258933416536
2019,N2O,Residential,Single Attached,Old,15.490940406636794
2019,N2O,Residential,Single Detached,Old,34.2702144574789
2020,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8634074930698168
2020,CH4,Commercial,Accommodation and Food Services,Old,2.167210696030676
2020,CH4,Commercial,Educational Services,Old,5.428409967845671
2020,CH4,Commercial,Health Care and Social Assistance,Old,3.465313577223315
2020,CH4,Commercial,Information and Cultural Industries,Old,0.2788010168552938
2020,CH4,Commercial,Offices,Old,18.908041475303644
2020,CH4,Commercial,Other Services,Old,2.2721439049936887
2020,CH4,Commercial,Retail Trade,Old,6.90121821929696
2020,CH4,Commercial,Transportation and Warehousing,Old,1.2318542900441158
2020,CH4,Commercial,Wholesale Trade,Old,4.319554378734046
2020,CH4,Industry,,,16.38913715880179
2020,CH4,Public,Hospital,Old,1.7537514552716493
2020,CH4,Public,Municipality,Old,1.5805093307289593
2020,CH4,Public,Post-Secondary Institution,Old,2.7970509188532082
2020,CH4,Public,School board,Old,3.0236838774749475
2020,CH4,Residential,Apartments,Old,527.6993061055606
2020,CH4,Residential,Single Attached,Old,186.25259254953025
2020,CH4,Residential,Single Detached,Old,368.85650703877343
2020,CO2,Commercial,"Arts, Entertainment and Recreation",Old,94195.74091419778
2020,CO2,Commercial,Accommodation and Food Services,Old,109683.93078838558
2020,CO2,Commercial,Educational Services,Old,279242.04837226274
2020,CO2,Commercial,Health Care and Social Assistance,Old,176747.56649357596
2020,CO2,Commercial,Information and Cultural Industries,Old,13602.492549566057
2020,CO2,Commercial,Offices,Old,984448.3149730952
