"Transportation sector GHG emissions per subsector, per end use (metric ton)"
t_periods,emissions_comm,Sub,Mode,Tech_type_1,Tech_type_2,Name,Emisions
2019,CH4,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Wheel trans para,0.934773106634069
2019,CH4,Passenger,Road,Cars,___,Auto driver,114.87220547504738
2019,CH4,Passenger,Road,Cars,___,Auto passenger,14.540576869346278
2019,CH4,Passenger,Road,Cars,___,Paid Ridershare,0.9174321272897656
2019,CH4,Passenger,Road,Cars,___,Taxi passenger,1.5509095806631714
2019,CH4,Passenger,Road,Motorcycles,___,___,1.7894593058373849
2019,CH4,Passenger,Road,Truck,Passenger Light Trucks,Auto driver,125.20642906488445
2019,CH4,Passenger,Road,Truck,Passenger Light Trucks,Auto passenger,15.836638186202844
2019,CH4,Passenger,Road,Truck,Passenger Light Trucks,Paid Ridershare,0.9887820443592358
2019,CH4,Passenger,Road,Truck,Passenger Light Trucks,Taxi passenger,0.5423143189473246
2019,CH4,Public,Marine,___,___,Fleet Services,0.0004205853002650424
2019,CH4,Public,Marine,___,___,Police Services,2.3050108823002345e-05
2019,CH4,Public,Road,Inter-city Buses,Urban Bus ,Police Services,0.0018255404572656638
2019,CH4,Public,Road,Cars,___,Fleet Services,0.03130734859960117
2019,CH4,Public,Road,Cars,___,Police Services,0.8050003912327358
2019,CH4,Public,Road,Cars,___,Toronto Housing Company,0.15672076926375056
2019,CH4,Public,Road,Motorcycles,___,Police Services,0.012394985033017855
2019,CH4,Public,Road,Truck,Heavy Trucks,Fleet Services,0.6173236353015836
2019,CH4,Public,Road,Truck,Passenger Light Trucks,Fleet Services,1.4963604715896668
2019,CH4,Public,Road,Truck,Passenger Light Trucks,Police Services,0.5121882343577572
2019,CH4,Public,Road,Truck,Passenger Light Trucks,Toronto Housing Company,0.10504410299603634
2019,CH4,Public,Road,Truck,Medium Trucks,Fleet Services,0.2627819884169101
2019,CH4,Public,Road,Truck,Medium Trucks,Police Services,0.02445107340282133
2019,CH4,Public,Road,Truck,Medium Trucks,Toronto Housing Company,0.06082967954454715
2019,CO2,Freight Transportation,Air,___,___,,1923.3830439667586
2019,CO2,Freight Transportation,Marine,___,___,,11203.970350796391
2019,CO2,Freight Transportation,Rail,___,___,,25238.016920242022
2019,CO2,Freight Transportation,Road,Truck,Heavy Trucks,,247745.36277164263
2019,CO2,Freight Transportation,Road,Truck,Passenger Light Trucks,,1002448.4594631109
2019,CO2,Freight Transportation,Road,Truck,Medium Trucks,,318846.17883131595
2019,CO2,Long Distance,Air,___,___,,102292.52081687107
2019,CO2,Long Distance,Rail,___,___,,69449.87527081152
2019,CO2,Passenger,Rail,Regional,___,GO rail,109677.51716125838
2019,CO2,Passenger,Rail,Regional,___,Up Express,5540.020141581346
2019,CO2,Passenger,Rail,Subway,___,Subway,32257.409848486855
2019,CO2,Passenger,Rail,Tramway,___,Streetcar,5327.977886089028
2019,CO2,Passenger,Road,Inter-city Buses,Inter Urban Bus,Durham RT,215.399851333617
2019,CO2,Passenger,Road,Inter-city Buses,Inter Urban Bus,Go Bus,2719.7126709602153
2019,CO2,Passenger,Road,Inter-city Buses,Inter Urban Bus,Miway Bus,2463.515682551787
2019,CO2,Passenger,Road,Inter-city Buses,Inter Urban Bus,Viva Bus,343.1768872227815
2019,CO2,Passenger,Road,Inter-city Buses,School Bus,___,5086.351905088517
2019,CO2,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Bus,236230.38273673062
2019,CO2,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Wheel trans para,22380.7182268296
