GHG emissions per subsector per period (metric ton)
t_periods,emissions_comm,sector,Emisions
2023,N2O,Residential building,75.8220883397172
2023,N2O,Solid waste,40.68892953734959
2023,N2O,Water waste,106.30348008135226
2024,CH4,Commercial building,41.37002650122891
2024,CH4,District Energy,4.063276361247458
2024,CH4,Freight transportation,89.39046665361005
2024,CH4,Industrial building,18.686019684520055
2024,CH4,Long distance transportation,9.300849831572341
2024,CH4,Passenger transportation,432.6568817262164
2024,CH4,Public building,7.889788727081491
2024,CH4,Public transportation,10.790847511829533
2024,CH4,Residential building,956.9211756444479
2024,CH4,Solid waste,36644.79280257874
2024,CH4,Water waste,2.903658377345874
2024,CO2,Commercial building,2136333.8499428723
2024,CO2,District Energy,191584.39343865192
2024,CO2,Freight transportation,1630242.3728270913
2024,CO2,Industrial building,679773.4832454728
2024,CO2,Long distance transportation,163451.97592949896
2024,CO2,Passenger transportation,4685790.020620779
2024,CO2,Public building,338558.34288728156
2024,CO2,Public transportation,98748.11953097343
2024,CO2,Residential building,3107212.6153400764
2024,CO2,Solid waste,7867.384586801321
2024,CO2,Water waste,121661.97797571316
2024,CO2e,Commercial building,2151117.982947664
2024,CO2e,District Energy,192815.12690298975
2024,CO2e,Freight transportation,1698526.9211534956
2024,CO2e,Industrial building,685203.637420382
2024,CO2e,Long distance transportation,174255.73431957667
2024,CO2e,Passenger transportation,4733339.780540819
2024,CO2e,Public building,340970.3100731907
2024,CO2e,Public transportation,100361.934079766
2024,CO2e,Residential building,3147712.5308821322
2024,CO2e,Solid waste,790995.4453189234
2024,CO2e,Trade energy,1238144.521613351
2024,CO2e,Water waste,71294.7506315825
2024,N2O,Commercial building,46.69584714181766
2024,N2O,District Energy,3.843639801180029
2024,N2O,Freight transportation,85.26740735037872
2024,N2O,Industrial building,16.905193830651097
2024,N2O,Long distance transportation,35.598793770518924
2024,N2O,Passenger transportation,129.07370940869424
2024,N2O,Public building,7.537857794095588
2024,N2O,Public transportation,4.655056211557367
2024,N2O,Residential building,68.47171427354068
2024,N2O,Solid waste,0.2176849053598885
2024,N2O,Water waste,106.8332571584059
2025,CH4,Commercial building,36.156557219810374
2025,CH4,District Energy,5.860871309816609
2025,CH4,Freight transportation,85.09087721810135
2025,CH4,Industrial building,29.478630406954615
2025,CH4,Long distance transportation,8.952597140956609
2025,CH4,Passenger transportation,460.4483959201924
2025,CH4,Public building,7.433092635540732
2025,CH4,Public transportation,17.252254324531407
2025,CH4,Residential building,922.5486543571446
2025,CH4,Solid waste,16400.073841626574
2025,CH4,Water waste,2.916044594819536
2025,CO2,Commercial building,1699514.4836796003
2025,CO2,District Energy,274821.97521225945
2025,CO2,Freight transportation,1523826.8548722947
2025,CO2,Industrial building,660433.1539285836
2025,CO2,Long distance transportation,97339.86303446801
2025,CO2,Passenger transportation,3837086.554235443
2025,CO2,Public building,371479.56411890447
2025,CO2,Public transportation,79628.6754393405
2025,CO2,Residential building,2999137.001047456
2025,CO2,Solid waste,7968.662221320543
2025,CO2,Water waste,122343.68349101143
2025,CO2e,Commercial building,1712326.4410732328
2025,CO2e,District Energy,276597.18561142456
2025,CO2e,Freight transportation,1577494.3722600949
2025,CO2e,Industrial building,668146.6781054029
2025,CO2e,Long distance transportation,109703.12782168196
2025,CO2e,Passenger transportation,3871989.8330936916
2025,CO2e,Public building,373749.3013374431
2025,CO2e,Public transportation,81348.16505166671
2025,CO2e,Residential building,3038183.65753082
2025,CO2e,Solid waste,389278.01695588476
2025,CO2e,Trade energy,1429488.1467059762
2025,CO2e,Water waste,71648.16343346822
2025,N2O,Commercial building,40.44520030876812
2025,N2O,District Energy,5.544067455231929
2025,N2O,Freight transportation,82.35281889821499
2025,N2O,Industrial building,23.806956168701994
2025,N2O,Long distance transportation,40.85657801091876
2025,N2O,Passenger transportation,84.67739108699124
2025,N2O,Public building,7.092759306012686
2025,N2O,Public transportation,4.554336481580677
2025,N2O,Residential building,66.01723067740792
2025,N2O,Solid waste,0.0213229372852564
2025,N2O,Water waste,107.35984339355574
2030,CH4,Commercial building,31.30232170088059
2030,CH4,District Energy,5.759616128843887
2030,CH4,Freight transportation,54.87020311979616
2030,CH4,Industrial building,48.90620576654369
2030,CH4,Long distance transportation,10.272329612932571
2030,CH4,Passenger transportation,999.8919276974106
2030,CH4,Public building,6.322862174764289
2030,CH4,Public transportation,38.222536930731
2030,CH4,Residential building,598.3580544095856
2030,CH4,Solid waste,13181.762122212656
2030,CH4,Water waste,1.6056173379469054
2030,CO2,Commercial building,1356599.8138739155
2030,CO2,District Energy,166219.4042438849
2030,CO2,Freight transportation,844874.68813139
2030,CO2,Industrial building,430975.1927844701
2030,CO2,Long distance transportation,43646.36957501733
2030,CO2,Passenger transportation,2011119.4800200523
2030,CO2,Public building,231750.26699030594
2030,CO2,Public transportation,37944.24565997584
2030,CO2,Residential building,1938262.64409589
2030,CO2,Solid waste,7927.986895399012
2030,CO2,Water waste,106156.1671389324
2030,CO2e,Commercial building,1367388.4386060121
2030,CO2e,District Energy,167963.94526972136
2030,CO2e,Freight transportation,872827.7495202032
2030,CO2e,Industrial building,442820.8878905285
