"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,Sector,EndUse,Tech_type_1,Energy_cat,Efficiency,Emisions
2017,CO2,Public,Building,Water Heating,___,Natural Gas,Standard,48354.74758541505
2017,CO2,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,6720.825992772532
2017,CO2,Residential,Building,Range,___,Natural Gas,Standard,4554.836527714278
2017,CO2,Residential,Building,Space Heating,Furnace,Kerosene,Standard,24.323245340123943
2017,CO2,Residential,Building,Space Heating,Furnace,Light Fuel Oil,Standard,54940.295704351825
2017,CO2,Residential,Building,Space Heating,Furnace,Natural Gas,High,2069703.354849857
2017,CO2,Residential,Building,Space Heating,Furnace,Natural Gas,Medium,746040.2692008913
2017,CO2,Residential,Building,Space Heating,Furnace,Propane,Standard,27.754005609300208
2017,CO2,Residential,Building,Water Heating,___,Kerosene,Standard,882.7873422790202
2017,CO2,Residential,Building,Water Heating,___,Light Fuel Oil,Standard,7303.412344404024
2017,CO2,Residential,Building,Water Heating,___,Natural Gas,Standard,793587.0689083091
2017,CO2,Residential,Building,Water Heating,___,Propane,Standard,1244.0984952229105
2017,CO2e,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,128864.22855741491
2017,CO2e,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,117925.70297337191
2017,CO2e,Commercial,Building,Space Cooling,___,Natural Gas,Standard,6131.875597142989
2017,CO2e,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,214.422247294197
2017,CO2e,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,195.68181283558172
2017,CO2e,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,14587.366999228063
2017,CO2e,Commercial,Building,Space Heating,Furnace,Natural Gas,High,138.55565780407397
2017,CO2e,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,1809469.1885195882
2017,CO2e,Commercial,Building,Space Heating,Furnace,Propane,Standard,49810.12539084758
2017,CO2e,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,456.84462221048176
2017,CO2e,Commercial,Building,Water Heating,___,Kerosene,Standard,416.9085162790686
2017,CO2e,Commercial,Building,Water Heating,___,Light Fuel Oil,Standard,16889.2433760921
2017,CO2e,Commercial,Building,Water Heating,___,Natural Gas,Standard,288071.43512757804
2017,CO2e,Commercial,Building,Water Heating,___,Propane,Standard,6320.6629079776985
2017,CO2e,Industry,Building,Industrial Processes,Self produced,Mix Energy,,632730.2562013023
2017,CO2e,Industry,Building,Space Cooling,Self produced,Mix Energy,,1471.5817290772052
2017,CO2e,Industry,Building,Space Heating,Self produced,Mix Energy,,40628.57888950882
2017,CO2e,Industry,Building,Water Heating,Self produced,Mix Energy,,153416.52823464345
2017,CO2e,Public,Building,Auxiliary Equipment,___,Natural Gas,Standard,18670.038276745665
2017,CO2e,Public,Building,Space Cooling,___,Natural Gas,Standard,8313.155614180841
2017,CO2e,Public,Building,Space Heating,Furnace,Light Fuel Oil,Standard,24536.694886360925
2017,CO2e,Public,Building,Space Heating,Furnace,Natural Gas,High,0.10025803982988553
2017,CO2e,Public,Building,Space Heating,Furnace,Natural Gas,Standard,353963.28713348333
2017,CO2e,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,64.44318076012615
2017,CO2e,Public,Building,Water Heating,___,Kerosene,Standard,58.80772447646031
2017,CO2e,Public,Building,Water Heating,___,Light Fuel Oil,Standard,1648.8874541558175
2017,CO2e,Public,Building,Water Heating,___,Natural Gas,Standard,48657.7378224912
2017,CO2e,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,6760.720217826027
2017,CO2e,Residential,Building,Range,___,Natural Gas,Standard,4581.873632039539
2017,CO2e,Residential,Building,Space Heating,Furnace,Biomass,Standard,3690.9973476968376
2017,CO2e,Residential,Building,Space Heating,Furnace,Wood Pellet,Standard,8.00504709673485
2017,CO2e,Residential,Building,Space Heating,Furnace,Kerosene,Standard,24.345421332556118
2017,CO2e,Residential,Building,Space Heating,Furnace,Light Fuel Oil,Standard,54986.87421365988
2017,CO2e,Residential,Building,Space Heating,Furnace,Natural Gas,High,2082017.698102777
2017,CO2e,Residential,Building,Space Heating,Furnace,Natural Gas,Medium,750496.4219051275
2017,CO2e,Residential,Building,Space Heating,Furnace,Propane,Standard,28.353986741190504
2017,CO2e,Residential,Building,Water Heating,___,Biomass,Standard,351.4412469675813
2017,CO2e,Residential,Building,Water Heating,___,Wood Pellet,Standard,364.15278888022465
2017,CO2e,Residential,Building,Water Heating,___,Kerosene,Standard,883.5921972705255
2017,CO2e,Residential,Building,Water Heating,___,Light Fuel Oil,Standard,7309.604194225593
2017,CO2e,Residential,Building,Water Heating,___,Natural Gas,Standard,798330.1795965806
2017,CO2e,Residential,Building,Water Heating,___,Propane,Standard,1270.9931940946558
2017,N2O,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,2.3881158145033776
2017,N2O,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,8.229033189213666
2017,N2O,Commercial,Building,Space Cooling,___,Natural Gas,Standard,0.12057909739234861
2017,N2O,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,0.004320484389550778
2017,N2O,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,0.0023605637573270964
