"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2020,N2O,Industry,Space Heating,0.8108176690062885
2020,N2O,Industry,Water Heating,3.125832310743419
2020,N2O,Public,Auxiliary Equipment,0.3530078721778505
2020,N2O,Public,Space Cooling,0.47597773524734777
2020,N2O,Public,Space Heating,6.951685997598297
2020,N2O,Public,Water Heating,0.9506637098946908
2020,N2O,Residential,Clothe Dryer,0.08303823929838902
2020,N2O,Residential,Range,0.08451041873848739
2020,N2O,Residential,Space Heating,54.16246383614551
2020,N2O,Residential,Water Heating,28.13217910996409
2021,CH4,Commercial,Auxiliary Equipment,4.466863257512959
2021,CH4,Commercial,Space Cooling,0.37473516727702244
2021,CH4,Commercial,Space Heating,35.97192697554695
2021,CH4,Commercial,Water Heating,6.160376812292414
2021,CH4,Industry,Industrial Processes,12.669978428093785
2021,CH4,Industry,Space Cooling,0.028801990195206347
2021,CH4,Industry,Space Heating,0.7690678535418165
2021,CH4,Industry,Water Heating,2.9402176711115415
2021,CH4,Public,Auxiliary Equipment,0.3754444795475337
2021,CH4,Public,Space Cooling,0.521705361651726
2021,CH4,Public,Space Heating,7.332584424910664
2021,CH4,Public,Water Heating,0.99941389944484
2021,CH4,Residential,Clothe Dryer,0.08778063203148684
2021,CH4,Residential,Range,0.08933617422987959
2021,CH4,Residential,Space Heating,212.5123891996367
2021,CH4,Residential,Water Heating,915.4421036586651
2021,CO2,Commercial,Auxiliary Equipment,245262.72520121562
2021,CO2,Commercial,Space Cooling,12929.70181332666
2021,CO2,Commercial,Space Heating,1841500.3593491872
2021,CO2,Commercial,Water Heating,317368.02963484934
2021,CO2,Industry,Industrial Processes,631973.563553031
2021,CO2,Industry,Space Cooling,1469.679932122962
2021,CO2,Industry,Space Heating,40558.87565572692
2021,CO2,Industry,Water Heating,153133.43291760617
2021,CO2,Public,Auxiliary Equipment,17657.93921305735
2021,CO2,Public,Space Cooling,18683.019594764337
2021,CO2,Public,Space Heating,382696.4268423096
2021,CO2,Public,Water Heating,49655.37862677521
2021,CO2,Residential,Clothe Dryer,4479.184683120195
2021,CO2,Residential,Range,4558.559376919262
2021,CO2,Residential,Space Heating,2886503.052491634
2021,CO2,Residential,Water Heating,979022.7443792596
2021,CO2e,Commercial,Auxiliary Equipment,248602.8053702333
2021,CO2e,Commercial,Space Cooling,13043.206024175242
2021,CO2e,Commercial,Space Heating,1853561.0915621892
2021,CO2e,Commercial,Water Heating,319387.6251714991
2021,CO2e,Industry,Industrial Processes,635663.5284461492
2021,CO2e,Industry,Space Cooling,1478.4038214234397
2021,CO2e,Industry,Space Heating,40816.928811342
2021,CO2e,Industry,Water Heating,154127.75135894693
2021,CO2e,Public,Auxiliary Equipment,17771.69788429773
2021,CO2e,Public,Space Cooling,18841.039871178837
2021,CO2e,Public,Space Heating,384934.4778523406
2021,CO2e,Public,Water Heating,49961.52459814999
2021,CO2e,Residential,Clothe Dryer,4505.772724827677
2021,CO2e,Residential,Range,4585.618579746132
2021,CO2e,Residential,Space Heating,2907117.8335264022
2021,CO2e,Residential,Water Heating,1006826.37548992
2021,N2O,Commercial,Auxiliary Equipment,10.893543760435097
2021,N2O,Commercial,Space Cooling,0.3544791017978631
2021,N2O,Commercial,Space Heating,37.93732129703881
2021,N2O,Commercial,Water Heating,6.3430457167508365
2021,N2O,Industry,Industrial Processes,11.489581698415147
2021,N2O,Industry,Space Cooling,0.027245125860330337
2021,N2O,Industry,Space Heating,0.8117541298345865
2021,N2O,Industry,Water Heating,3.129442517608433
2021,N2O,Public,Auxiliary Equipment,0.355283010637212
2021,N2O,Public,Space Cooling,0.4935049121469992
2021,N2O,Public,Space Heating,6.993512540628857
2021,N2O,Public,Water Heating,0.9569069781424304
2021,N2O,Residential,Clothe Dryer,0.08303573300275786
2021,N2O,Residential,Range,0.08450719183907532
2021,N2O,Residential,Space Heating,54.20141228716734
2021,N2O,Residential,Water Heating,28.78975481150309
2022,CH4,Commercial,Auxiliary Equipment,4.482711777125128
