GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2019,CO2e,Commercial,Offices,Old,983751.4578037042
2019,CO2e,Commercial,Other Services,Old,114244.18874650903
2019,CO2e,Commercial,Retail Trade,Old,353695.56123442337
2019,CO2e,Commercial,Transportation and Warehousing,Old,61710.256875628555
2019,CO2e,Commercial,Wholesale Trade,Old,219704.82825031923
2019,CO2e,Industry,,,830166.7786120425
2019,CO2e,Public,Hospital,Old,95776.01017474888
2019,CO2e,Public,Municipality,Old,77010.48311523651
2019,CO2e,Public,Post-Secondary Institution,Old,142765.75935127403
2019,CO2e,Public,School board,Old,143445.67569957377
2019,CO2e,Residential,Apartments,Old,1479150.2703710895
2019,CO2e,Residential,Single Attached,Old,744945.3244514511
2019,CO2e,Residential,Single Detached,Old,1678015.7853155956
2019,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0175607676623173
2019,N2O,Commercial,Accommodation and Food Services,Old,2.3741846332199685
2019,N2O,Commercial,Educational Services,Old,5.979266686563701
2019,N2O,Commercial,Health Care and Social Assistance,Old,3.8712594045084248
2019,N2O,Commercial,Information and Cultural Industries,Old,0.3087237413939535
2019,N2O,Commercial,Offices,Old,24.040107942291783
2019,N2O,Commercial,Other Services,Old,2.3941470246643766
2019,N2O,Commercial,Retail Trade,Old,7.4377527690810705
2019,N2O,Commercial,Transportation and Warehousing,Old,1.3721883095750087
2019,N2O,Commercial,Wholesale Trade,Old,4.7796222096093794
2019,N2O,Industry,,,15.422357910107888
2019,N2O,Public,Hospital,Old,1.6658687900767695
2019,N2O,Public,Municipality,Old,1.4627344097450297
2019,N2O,Public,Post-Secondary Institution,Old,2.638081126732179
2019,N2O,Public,School board,Old,2.7096222185981373
2019,N2O,Residential,Apartments,Old,32.107108955812556
2019,N2O,Residential,Single Attached,Old,15.50746352615102
2019,N2O,Residential,Single Detached,Old,34.28796311060259
2020,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.86451441803743
2020,CH4,Commercial,Accommodation and Food Services,Old,2.1685104007181026
2020,CH4,Commercial,Educational Services,Old,5.430062615739292
2020,CH4,Commercial,Health Care and Social Assistance,Old,3.46686293880867
2020,CH4,Commercial,Information and Cultural Industries,Old,0.2791297634794682
2020,CH4,Commercial,Offices,Old,18.910418550600504
2020,CH4,Commercial,Other Services,Old,2.273379823560026
2020,CH4,Commercial,Retail Trade,Old,6.902932522962295
2020,CH4,Commercial,Transportation and Warehousing,Old,1.232630677505213
2020,CH4,Commercial,Wholesale Trade,Old,4.321157726478921
2020,CH4,Industry,,,16.389137168254784
2020,CH4,Public,Hospital,Old,1.754261039672458
2020,CH4,Public,Municipality,Old,1.5811415015472077
2020,CH4,Public,Post-Secondary Institution,Old,2.7979725261798505
2020,CH4,Public,School board,Old,3.024402577528589
2020,CH4,Residential,Apartments,Old,528.2213671749929
2020,CH4,Residential,Single Attached,Old,186.94558763585022
2020,CH4,Residential,Single Detached,Old,369.65146913745065
2020,CO2,Commercial,"Arts, Entertainment and Recreation",Old,94294.52564886006
2020,CO2,Commercial,Accommodation and Food Services,Old,109796.28765744822
2020,CO2,Commercial,Educational Services,Old,279400.2286115924
2020,CO2,Commercial,Health Care and Social Assistance,Old,176891.81932663254
2020,CO2,Commercial,Information and Cultural Industries,Old,13633.55991275319
2020,CO2,Commercial,Offices,Old,984684.688424006
2020,CO2,Commercial,Other Services,Old,115190.49957130845
2020,CO2,Commercial,Retail Trade,Old,354949.41410280834
2020,CO2,Commercial,Transportation and Warehousing,Old,62270.224882997274
2020,CO2,Commercial,Wholesale Trade,Old,220305.42163011373
2020,CO2,Industry,,,826181.3468184898
2020,CO2,Public,Hospital,Old,96511.45705804053
2020,CO2,Public,Municipality,Old,77970.06512946755
2020,CO2,Public,Post-Secondary Institution,Old,143261.96499828328
2020,CO2,Public,School board,Old,148441.0074866392
2020,CO2,Residential,Apartments,Old,1481026.447697958
2020,CO2,Residential,Single Attached,Old,733593.7221347797
2020,CO2,Residential,Single Detached,Old,1649687.8468278013
2020,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,94943.23751674741
2020,CO2e,Commercial,Accommodation and Food Services,Old,110557.75905508314
2020,CO2e,Commercial,Educational Services,Old,281321.632451837
2020,CO2e,Commercial,Health Care and Social Assistance,Old,178139.05484212507
2020,CO2e,Commercial,Information and Cultural Industries,Old,13731.083305983366
2020,CO2e,Commercial,Offices,Old,992328.4305315708
2020,CO2e,Commercial,Other Services,Old,115964.43983307962
2020,CO2e,Commercial,Retail Trade,Old,357342.4661716793
2020,CO2e,Commercial,Transportation and Warehousing,Old,62713.11187651148
2020,CO2e,Commercial,Wholesale Trade,Old,221840.58503940268
2020,CO2e,Industry,,,831126.6955249155
2020,CO2e,Public,Hospital,Old,97056.13414886879
2020,CO2e,Public,Municipality,Old,78449.02980575338
2020,CO2e,Public,Post-Secondary Institution,Old,144116.44282475315
2020,CO2e,Public,School board,Old,149357.13914744422
