regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2023,COMBDGEDSOldSCCE___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSCWA___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSCWD___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDHFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDHFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDKER_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDKER_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDLFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDLFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFUR___STDPRO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFURLARSTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFURMEDSTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHFURSMASTDHH2_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHHEP___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGEDSOldSHHEP___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
