regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2027,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2027,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2027,ADEMLDITRADOMAIR______,715.6860727626488,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2027,ADEMLDITRADOMRAI______,549.4140701989446,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2027,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2027,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2027,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2027,ADEMLDITRAINTAIR______,453.0734851989214,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2027,ADEMLDITRAINTRAI______,347.8130385316504,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2028,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2028,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2028,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2028,ADEMLDITRADOMAIR______,724.7453901393911,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2028,ADEMLDITRADOMRAI______,556.3686786824755,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2028,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2028,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2028,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2028,ADEMLDITRAINTAIR______,458.80859260650266,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2028,ADEMLDITRAINTRAI______,352.2157352219245,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2029,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2029,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2029,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2029,ADEMLDITRADOMAIR______,733.8047075161335,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2029,ADEMLDITRADOMRAI______,563.3232871660065,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2029,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2029,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2029,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2029,ADEMLDITRAINTAIR______,464.5437000140839,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2029,ADEMLDITRAINTRAI______,356.61843191219856,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2030,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2030,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2030,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2030,ADEMLDITRADOMAIR______,742.8640248928759,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2030,ADEMLDITRADOMRAI______,570.2778956495374,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2030,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2030,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2030,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2030,ADEMLDITRAINTAIR______,470.27880742166525,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2030,ADEMLDITRAINTRAI______,361.02112860247263,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2031,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2031,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2031,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2031,ADEMLDITRADOMAIR______,751.9233422696183,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2031,ADEMLDITRADOMRAI______,577.2325041330683,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2031,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2031,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2031,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2031,ADEMLDITRAINTAIR______,476.0139148292465,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2031,ADEMLDITRAINTRAI______,365.42382529274664,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2032,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2032,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2032,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2032,ADEMLDITRADOMAIR______,760.9826596463606,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2032,ADEMLDITRADOMRAI______,584.1871126165993,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2032,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2032,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2032,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2032,ADEMLDITRAINTAIR______,481.7490222368278,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2032,ADEMLDITRAINTRAI______,369.8265219830207,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2033,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2033,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2033,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2033,ADEMLDITRADOMAIR______,770.0419770231031,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2033,ADEMLDITRADOMRAI______,591.1417211001303,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2033,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2033,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2033,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2033,ADEMLDITRAINTAIR______,487.4841296444091,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2033,ADEMLDITRAINTRAI______,374.2292186732948,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2034,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2034,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2034,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2034,ADEMLDITRADOMAIR______,779.1012943998454,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2034,ADEMLDITRADOMRAI______,598.0963295836611,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2034,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2034,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2034,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2034,ADEMLDITRAINTAIR______,493.2192370519904,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2034,ADEMLDITRAINTRAI______,378.63191536356885,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2035,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2035,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2035,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2035,ADEMLDITRADOMAIR______,788.1606117765879,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2035,ADEMLDITRADOMRAI______,605.0509380671922,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2035,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2035,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2035,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2035,ADEMLDITRAINTAIR______,498.95434445957164,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2035,ADEMLDITRAINTRAI______,383.0346120538429,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2036,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2036,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2036,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2036,ADEMLDITRADOMAIR______,797.2199291533302,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2036,ADEMLDITRADOMRAI______,612.0055465507231,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2036,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2036,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2036,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2036,ADEMLDITRAINTAIR______,504.6894518671529,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2036,ADEMLDITRAINTRAI______,387.43730874411693,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2037,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2037,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
