regions,periods,tech,maxact,maxact_units,maxact_notes
TO,2040,RESBDGSDENewSHPST___STDBWP_23,0,,
TO,2040,RESBDGSDENewSHSTV___HIGBMA_23,0,,
TO,2040,RESBDGSDENewSHSTV___STDBMA_23,0,,
TO,2040,RESBDGSDENewWH______STDBMA_16,0,,
TO,2040,RESBDGSDENewWH______STDBWP_16,0,,
TO,2040,RESBDGSDENewWH______STDELC_16,0,,
TO,2040,RESBDGSDENewWH______STDKER_16,0,,
TO,2040,RESBDGSDENewWH______STDLFO_16,0,,
TO,2040,RESBDGSDENewWH______STDNGA_16,0,,
TO,2040,RESBDGSDENewWH______STDPRO_16,0,,
TO,2040,RESBDGSDENewWHSTHBCKSTDELC_23,0,,
TO,2040,RESBDGSDENewWHSTHBCKSTDNGA_23,0,,
TO,2040,RESBDGSDENewWHSYS___STDBMA_23,0,,
TO,2040,RESBDGSDENewWHSYS___STDBWP_23,0,,
TO,2040,RESBDGSDENewWHSYS___STDKER_23,0,,
TO,2040,RESBDGSDENewWHSYS___STDLFO_23,0,,
TO,2040,RESBDGSDENewWHSYS___STDPRO_23,0,,
TO,2040,RESBDGSDENewWHWTK___ESRNGA_23,0,,
TO,2040,RESBDGSDENewWHWTK___HIGELC_23,0,,
TO,2040,RESBDGSDENewWHWTK___HIGNGA_23,0,,
TO,2040,RESBDGSDENewWHWTK___STDELC_23,0,,
TO,2040,RESBDGSDENewWHWTK___STDNGA_23,0,,
TO,2040,RESBDGSDEOldSHBOI___STDHH2_23,0,,
TO,2040,RESBDGSDEOldSHFIR___HIGPRO_23,0,,
TO,2040,RESBDGSDEOldSHFIR___STDPRO_23,0,,
TO,2040,RESBDGSDEOldSHFUR___ESRNGA_23,0,,
TO,2040,RESBDGSDEOldSHFUR___ESRPRO_23,0,,
TO,2040,RESBDGSDEOldSHFUR___HIGLFO_23,0,,
TO,2040,RESBDGSDEOldSHFUR___HIGNGA_16,0,,
TO,2040,RESBDGSDEOldSHFUR___HIGNGA_23,0,,
TO,2040,RESBDGSDEOldSHFUR___HIGPRO_23,0,,
TO,2040,RESBDGSDEOldSHFUR___MEDNGA_16,0,,
TO,2040,RESBDGSDEOldSHFUR___STDBMA_16,0,,
TO,2040,RESBDGSDEOldSHFUR___STDBWP_16,0,,
TO,2040,RESBDGSDEOldSHFUR___STDELC_23,0,,
TO,2040,RESBDGSDEOldSHFUR___STDKER_16,0,,
TO,2040,RESBDGSDEOldSHFUR___STDKER_23,0,,
TO,2040,RESBDGSDEOldSHFUR___STDLFO_16,0,,
TO,2040,RESBDGSDEOldSHFUR___STDLFO_23,0,,
TO,2040,RESBDGSDEOldSHFUR___STDNGA_23,0,,
TO,2040,RESBDGSDEOldSHFUR___STDPRO_16,0,,
TO,2040,RESBDGSDEOldSHFUR___STDPRO_23,0,,
TO,2040,RESBDGSDEOldSHHEP___STDNGA_23,0,,
TO,2040,RESBDGSDEOldSHPLT___STDELC_16,0,,
TO,2040,RESBDGSDEOldSHPLT1000WSTDELC_23,0,,
TO,2040,RESBDGSDEOldSHPLT1500WSTDELC_23,0,,
TO,2040,RESBDGSDEOldSHPLT500WSTDELC_23,0,,
TO,2040,RESBDGSDEOldSHPST___HIGBWP_23,0,,
TO,2040,RESBDGSDEOldSHPST___STDBWP_23,0,,
TO,2040,RESBDGSDEOldSHSTV___HIGBMA_23,0,,
TO,2040,RESBDGSDEOldSHSTV___STDBMA_23,0,,
TO,2040,RESBDGSDEOldWH______STDBMA_16,0,,
TO,2040,RESBDGSDEOldWH______STDBWP_16,0,,
TO,2040,RESBDGSDEOldWH______STDELC_16,0,,
TO,2040,RESBDGSDEOldWH______STDKER_16,0,,
TO,2040,RESBDGSDEOldWH______STDLFO_16,0,,
TO,2040,RESBDGSDEOldWH______STDNGA_16,0,,
TO,2040,RESBDGSDEOldWH______STDPRO_16,0,,
TO,2040,RESBDGSDEOldWHSTHBCKSTDELC_23,0,,
TO,2040,RESBDGSDEOldWHSTHBCKSTDNGA_23,0,,
TO,2040,RESBDGSDEOldWHSYS___STDBMA_23,0,,
