regions,periods,tech,minact,minact_units,minact_notes
TO,2016,COMBDGTAWNewSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewSHHEP___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewSHPLT___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWNewWH______STDELC_16,0.0000000,,
TO,2016,COMBDGTAWOldAE______STDELC_16,0.1647287,,
TO,2016,COMBDGTAWOldAM______STDELC_16,0.0331089,,
TO,2016,COMBDGTAWOldLIFLC___STDELC_16,0.0001871,,
TO,2016,COMBDGTAWOldLIFLU___STDELC_16,0.0013688,,
TO,2016,COMBDGTAWOldLIHAL___STDELC_16,0.0004017,,
TO,2016,COMBDGTAWOldLIINC___STDELC_16,0.0012901,,
TO,2016,COMBDGTAWOldLILED___STDELC_16,0.0000060,,
TO,2016,COMBDGTAWOldSC______STDELC_16,0.0706751,,
TO,2016,COMBDGTAWOldSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGTAWOldSHHEP___STDELC_16,1.8464589,,
TO,2016,COMBDGTAWOldSHPLT___STDELC_16,1.9476804,,
