regions,tech,c2a,c2a_notes
TO,COMBDGTAWOldSHHEP___STDELC_EX,31.536,CommercialBuildingTransportation and WarehousingOldSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,COMBDGICIOldSHHEP___STDELC_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,COMBDGOFFOldSHHEP___STDELC_EX,31.536,CommercialBuildingOfficesOldSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,COMBDGEDSOldSHHEP___STDELC_EX,31.536,CommercialBuildingEducational ServicesOldSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,COMBDGHLCOldSHHEP___STDELC_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,COMBDGAEROldSHHEP___STDELC_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldSpace HeatingHeat PumpStandard EfficiencyElectricity"
TO,COMBDGAFSOldSHHEP___STDELC_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,COMBDGOTSOldSHHEP___STDELC_EX,31.536,CommercialBuildingOther ServicesOldSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,COMBDGWSTOldSHFUR___STDNGA_EX,31.536,CommercialBuildingWholesale TradeOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,COMBDGRTTOldSHFUR___STDNGA_EX,31.536,CommercialBuildingRetail TradeOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,COMBDGTAWOldSHFUR___STDNGA_EX,31.536,CommercialBuildingTransportation and WarehousingOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,COMBDGICIOldSHFUR___STDNGA_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,COMBDGOFFOldSHFUR___STDNGA_EX,31.536,CommercialBuildingOfficesOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,COMBDGEDSOldSHFUR___STDNGA_EX,31.536,CommercialBuildingEducational ServicesOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,COMBDGHLCOldSHFUR___STDNGA_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,COMBDGAEROldSHFUR___STDNGA_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldSpace HeatingFurnaceStandard EfficiencyNatural Gas"
TO,COMBDGAFSOldSHFUR___STDNGA_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
