regions,season_name,time_of_day_name,demand_name,dds,dds_notes
TO,W,P1,ADEMPUBBDGPSINewSC,0.023325771063098213,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Cooling
TO,W,P1,ADEMPUBBDGSBDNewSC,0.023325771063098213,Aggregated DemandPublicBuildingSchool boardNewSpace Cooling
TO,W,P1,ADEMPUBBDGHSPNewAM,0.04162162396123097,Aggregated DemandPublicBuildingHospitalNewAuxiliary Motors
TO,W,P1,ADEMPUBBDGMUNNewAM,0.04162162396123097,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Motors
TO,W,P1,ADEMPUBBDGPSINewAM,0.04162162396123097,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Motors
TO,W,P1,ADEMPUBBDGSBDNewAM,0.04162162396123097,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Motors
TO,W,P1,ADEMPUBBDGHSPNewAE,0.04320216289605269,Aggregated DemandPublicBuildingHospitalNewAuxiliary Equipment
TO,W,P1,ADEMPUBBDGMUNNewAE,0.04320216289605269,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Equipment
TO,W,P1,ADEMPUBBDGPSINewAE,0.04320216289605269,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Equipment
TO,W,P1,ADEMPUBBDGSBDNewAE,0.04320216289605269,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Equipment
TO,W,P1,ADEMPUBBDGHSPNewSH,0.13646963442187587,Aggregated DemandPublicBuildingHospitalNewSpace Heating
TO,W,P1,ADEMPUBBDGMUNNewSH,0.13646963442187587,Aggregated DemandPublicBuildingMunicipalityNewSpace Heating
TO,W,P1,ADEMPUBBDGPSINewSH,0.13646963442187587,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Heating
TO,W,P1,ADEMPUBBDGSBDNewSH,0.13646963442187587,Aggregated DemandPublicBuildingSchool boardNewSpace Heating
TO,W,P1,ADEMPUBBDGHSPNewWH,0.05537466051717451,Aggregated DemandPublicBuildingHospitalNewWater Heating
TO,W,P1,ADEMPUBBDGMUNNewWH,0.05537466051717451,Aggregated DemandPublicBuildingMunicipalityNewWater Heating
TO,W,P1,ADEMPUBBDGPSINewWH,0.05537466051717451,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewWater Heating
TO,W,P1,ADEMPUBBDGSBDNewWH,0.05537466051717451,Aggregated DemandPublicBuildingSchool boardNewWater Heating
TO,W,P2,ADEMPUBBDGHSPOldLI,0.04662523637118166,Aggregated DemandPublicBuildingHospitalOldLighting
TO,W,P2,ADEMPUBBDGMUNOldLI,0.04662523637118166,Aggregated DemandPublicBuildingMunicipalityOldLighting
TO,W,P2,ADEMPUBBDGPSIOldLI,0.04662523637118166,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldLighting
TO,W,P2,ADEMPUBBDGSBDOldLI,0.04662523637118166,Aggregated DemandPublicBuildingSchool boardOldLighting
TO,W,P2,ADEMPUBBDGHSPOldSC,0.03925111824357858,Aggregated DemandPublicBuildingHospitalOldSpace Cooling
TO,W,P2,ADEMPUBBDGMUNOldSC,0.03925111824357858,Aggregated DemandPublicBuildingMunicipalityOldSpace Cooling
TO,W,P2,ADEMPUBBDGPSIOldSC,0.03925111824357858,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Cooling
TO,W,P2,ADEMPUBBDGSBDOldSC,0.03925111824357858,Aggregated DemandPublicBuildingSchool boardOldSpace Cooling
TO,W,P2,ADEMPUBBDGHSPOldAM,0.04215127889709079,Aggregated DemandPublicBuildingHospitalOldAuxiliary Motors
TO,W,P2,ADEMPUBBDGMUNOldAM,0.04215127889709079,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Motors
TO,W,P2,ADEMPUBBDGPSIOldAM,0.04215127889709079,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Motors
TO,W,P2,ADEMPUBBDGSBDOldAM,0.04215127889709079,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Motors
TO,W,P2,ADEMPUBBDGHSPOldAE,0.04141388664115312,Aggregated DemandPublicBuildingHospitalOldAuxiliary Equipment
TO,W,P2,ADEMPUBBDGMUNOldAE,0.04141388664115312,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Equipment
TO,W,P2,ADEMPUBBDGPSIOldAE,0.04141388664115312,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Equipment
TO,W,P2,ADEMPUBBDGSBDOldAE,0.04141388664115312,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Equipment
TO,W,P2,ADEMPUBBDGHSPOldSH,0.07138301639268847,Aggregated DemandPublicBuildingHospitalOldSpace Heating
TO,W,P2,ADEMPUBBDGMUNOldSH,0.07138301639268847,Aggregated DemandPublicBuildingMunicipalityOldSpace Heating
TO,W,P2,ADEMPUBBDGPSIOldSH,0.07138301639268847,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Heating
TO,W,P2,ADEMPUBBDGSBDOldSH,0.07138301639268847,Aggregated DemandPublicBuildingSchool boardOldSpace Heating
TO,W,P2,ADEMPUBBDGHSPOldWH,0.05068258065572494,Aggregated DemandPublicBuildingHospitalOldWater Heating
TO,W,P2,ADEMPUBBDGMUNOldWH,0.05068258065572494,Aggregated DemandPublicBuildingMunicipalityOldWater Heating
TO,W,P2,ADEMPUBBDGPSIOldWH,0.05068258065572494,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldWater Heating
TO,W,P2,ADEMPUBBDGSBDOldWH,0.05068258065572494,Aggregated DemandPublicBuildingSchool boardOldWater Heating
TO,W,P2,ADEMPUBBDGHSPNewLI,0.04662523637118166,Aggregated DemandPublicBuildingHospitalNewLighting
TO,W,P2,ADEMPUBBDGMUNNewLI,0.04662523637118166,Aggregated DemandPublicBuildingMunicipalityNewLighting
TO,W,P2,ADEMPUBBDGPSINewLI,0.04662523637118166,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewLighting
TO,W,P2,ADEMPUBBDGSBDNewLI,0.04662523637118166,Aggregated DemandPublicBuildingSchool boardNewLighting
TO,W,P2,ADEMPUBBDGHSPNewSC,0.03925111824357858,Aggregated DemandPublicBuildingHospitalNewSpace Cooling
TO,W,P2,ADEMPUBBDGMUNNewSC,0.03925111824357858,Aggregated DemandPublicBuildingMunicipalityNewSpace Cooling
TO,W,P2,ADEMPUBBDGPSINewSC,0.03925111824357858,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Cooling
TO,W,P2,ADEMPUBBDGSBDNewSC,0.03925111824357858,Aggregated DemandPublicBuildingSchool boardNewSpace Cooling
TO,W,P2,ADEMPUBBDGHSPNewAM,0.04215127889709079,Aggregated DemandPublicBuildingHospitalNewAuxiliary Motors
TO,W,P2,ADEMPUBBDGMUNNewAM,0.04215127889709079,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Motors
TO,W,P2,ADEMPUBBDGPSINewAM,0.04215127889709079,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Motors
TO,W,P2,ADEMPUBBDGSBDNewAM,0.04215127889709079,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Motors
TO,W,P2,ADEMPUBBDGHSPNewAE,0.04141388664115312,Aggregated DemandPublicBuildingHospitalNewAuxiliary Equipment
TO,W,P2,ADEMPUBBDGMUNNewAE,0.04141388664115312,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Equipment
TO,W,P2,ADEMPUBBDGPSINewAE,0.04141388664115312,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Equipment
TO,W,P2,ADEMPUBBDGSBDNewAE,0.04141388664115312,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Equipment
TO,W,P2,ADEMPUBBDGHSPNewSH,0.07138301639268847,Aggregated DemandPublicBuildingHospitalNewSpace Heating
TO,W,P2,ADEMPUBBDGMUNNewSH,0.07138301639268847,Aggregated DemandPublicBuildingMunicipalityNewSpace Heating
TO,W,P2,ADEMPUBBDGPSINewSH,0.07138301639268847,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Heating
TO,W,P2,ADEMPUBBDGSBDNewSH,0.07138301639268847,Aggregated DemandPublicBuildingSchool boardNewSpace Heating
TO,W,P2,ADEMPUBBDGHSPNewWH,0.05068258065572494,Aggregated DemandPublicBuildingHospitalNewWater Heating
TO,W,P2,ADEMPUBBDGMUNNewWH,0.05068258065572494,Aggregated DemandPublicBuildingMunicipalityNewWater Heating
TO,W,P2,ADEMPUBBDGPSINewWH,0.05068258065572494,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewWater Heating
TO,W,P2,ADEMPUBBDGSBDNewWH,0.05068258065572494,Aggregated DemandPublicBuildingSchool boardNewWater Heating
TO,S,D,ADEMPUBBDGHSPOldLI,0.09308913155576494,Aggregated DemandPublicBuildingHospitalOldLighting
TO,S,D,ADEMPUBBDGMUNOldLI,0.09308913155576494,Aggregated DemandPublicBuildingMunicipalityOldLighting
