regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2024,WATWASELC,WATWASWWABGASERKSTDMENE_23,0.2,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2024,WATWASNGA,WATWASWWABADIPUB___MENE_23,0.8,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2024,WATWASELC,WATWASWWABADIPUB___MENE_23,0.2,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2024,WATWASNGA,WATWASWWHBGASERKSTDMENE_23,0.8,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2024,WATWASELC,WATWASWWHBGASERKSTDMENE_23,0.2,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2024,WATWASNGA,WATWASWWHBADIPUB___MENE_23,0.8,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2024,WATWASELC,WATWASWWHBADIPUB___MENE_23,0.2,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2024,WATWASNGA,WATWASWWHCGASERKSTDMENE_23,0.8,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2024,WATWASELC,WATWASWWHCGASERKSTDMENE_23,0.2,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2024,WATWASNGA,WATWASWWHCADIPUB___MENE_23,0.8,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2024,WATWASELC,WATWASWWHCADIPUB___MENE_23,0.2,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2025,WATWASNGA,WATWASWWABGASERKSTDMENE_23,0.8,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2025,WATWASELC,WATWASWWABGASERKSTDMENE_23,0.2,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2025,WATWASNGA,WATWASWWABADIPUB___MENE_23,0.8,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2025,WATWASELC,WATWASWWABADIPUB___MENE_23,0.2,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2025,WATWASNGA,WATWASWWHBGASERKSTDMENE_23,0.8,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
