"Discounted and undiscounted Cost breakdown, per subsectors, per periods. (k CAD 2016)"
vintage,sector,Cost,Cost_type,Costs
2005,Long distance transportation,Discounted,FixedCosts,4237.820063694688
2005,Long distance transportation,Discounted,FixedSubsidies,0.0
2005,Long distance transportation,Undiscounted,FixedCosts,5100.02374487051
2005,Long distance transportation,Undiscounted,FixedSubsidies,0.0
2005,Passenger transportation,Discounted,FixedCosts,910711.8737793539
2005,Passenger transportation,Discounted,FixedSubsidies,0.0
2005,Passenger transportation,Undiscounted,FixedCosts,1022039.4764983148
2005,Passenger transportation,Undiscounted,FixedSubsidies,0.0
2005,Public building,Discounted,FixedCosts,8842.890690491782
2005,Public building,Discounted,FixedSubsidies,0.0
2005,Public building,Undiscounted,FixedCosts,9862.508138687546
2005,Public building,Undiscounted,FixedSubsidies,0.0
2005,Public transportation,Discounted,FixedCosts,6348.58882954102
2005,Public transportation,Discounted,FixedSubsidies,0.0
2005,Public transportation,Undiscounted,FixedCosts,7124.625000000001
2005,Public transportation,Undiscounted,FixedSubsidies,0.0
2005,Residential building,Discounted,FixedCosts,91905.90940307951
2005,Residential building,Discounted,FixedSubsidies,0.0
2005,Residential building,Undiscounted,FixedCosts,102144.30172798151
2005,Residential building,Undiscounted,FixedSubsidies,0.0
2010,Commercial building,Discounted,FixedCosts,42410.14896069401
2010,Commercial building,Discounted,FixedSubsidies,0.0
2010,Commercial building,Undiscounted,FixedCosts,48582.81051553192
2010,Commercial building,Undiscounted,FixedSubsidies,0.0
2010,Freight transportation,Discounted,FixedCosts,358823.64623222535
2010,Freight transportation,Discounted,FixedSubsidies,0.0
2010,Freight transportation,Undiscounted,FixedCosts,431804.1637488408
2010,Freight transportation,Undiscounted,FixedSubsidies,0.0
2010,Long distance transportation,Discounted,FixedCosts,5373.145407430818
2010,Long distance transportation,Discounted,FixedSubsidies,0.0
2010,Long distance transportation,Undiscounted,FixedCosts,6920.296826602005
2010,Long distance transportation,Undiscounted,FixedSubsidies,0.0
2010,Passenger transportation,Discounted,FixedCosts,1321252.6836173723
2010,Passenger transportation,Discounted,FixedSubsidies,0.0
2010,Passenger transportation,Undiscounted,FixedCosts,1589829.5603440267
2010,Passenger transportation,Undiscounted,FixedSubsidies,0.0
2010,Public building,Discounted,FixedCosts,15897.250873081079
2010,Public building,Discounted,FixedSubsidies,0.0
2010,Public building,Undiscounted,FixedCosts,18596.753033917066
2010,Public building,Undiscounted,FixedSubsidies,0.0
2010,Public transportation,Discounted,FixedCosts,9210.521515930024
2010,Public transportation,Discounted,FixedSubsidies,0.0
2010,Public transportation,Undiscounted,FixedCosts,11082.750000000002
2010,Public transportation,Undiscounted,FixedSubsidies,0.0
2010,Residential building,Discounted,FixedCosts,164029.52186659264
2010,Residential building,Discounted,FixedSubsidies,0.0
2010,Residential building,Undiscounted,FixedCosts,191977.78604557397
2010,Residential building,Undiscounted,FixedSubsidies,0.0
2015,Commercial building,Discounted,FixedCosts,68179.78263006572
2015,Commercial building,Discounted,FixedSubsidies,0.0
2015,Commercial building,Undiscounted,FixedCosts,82074.17839828119
2015,Commercial building,Undiscounted,FixedSubsidies,0.0
2015,District Energy,Discounted,FixedCosts,408639.184657111
2015,District Energy,Discounted,FixedSubsidies,0.0
2015,District Energy,Discounted,VariableCosts,18817.4492536103
2015,District Energy,Discounted,VariableSubsidies,0.0
2015,District Energy,Undiscounted,FixedCosts,591799.6288983165
2015,District Energy,Undiscounted,FixedSubsidies,0.0
2015,District Energy,Undiscounted,VariableCosts,23571.22091531148
2015,District Energy,Undiscounted,VariableSubsidies,0.0
2015,Freight transportation,Discounted,FixedCosts,454957.63365387334
2015,Freight transportation,Discounted,FixedSubsidies,0.0
2015,Freight transportation,Undiscounted,FixedCosts,585959.5152195074
2015,Freight transportation,Undiscounted,FixedSubsidies,0.0
2015,Long distance transportation,Discounted,FixedCosts,6352.487022071576
2015,Long distance transportation,Discounted,FixedSubsidies,0.0
2015,Long distance transportation,Undiscounted,FixedCosts,8740.5699083335
2015,Long distance transportation,Undiscounted,FixedSubsidies,0.0
2015,Passenger transportation,Discounted,FixedCosts,1675388.7925318347
2015,Passenger transportation,Discounted,FixedSubsidies,0.0
2015,Passenger transportation,Undiscounted,FixedCosts,2157619.6441897396
2015,Passenger transportation,Undiscounted,FixedSubsidies,0.0
2015,Public building,Discounted,FixedCosts,22455.289219508726
2015,Public building,Discounted,FixedSubsidies,0.0
2015,Public building,Undiscounted,FixedCosts,27863.23448321407
2015,Public building,Undiscounted,FixedSubsidies,0.0
2015,Public transportation,Discounted,FixedCosts,11679.249791525344
2015,Public transportation,Discounted,FixedSubsidies,0.0
2015,Public transportation,Undiscounted,FixedCosts,15040.875000000004
2015,Public transportation,Undiscounted,FixedSubsidies,0.0
2015,Residential building,Discounted,FixedCosts,226243.98353913837
2015,Residential building,Discounted,FixedSubsidies,0.0
2015,Residential building,Undiscounted,FixedCosts,281811.2703631665
2015,Residential building,Undiscounted,FixedSubsidies,0.0
2015,Solid waste,Discounted,FixedCosts,270634.42113310227
2015,Solid waste,Discounted,FixedSubsidies,0.0
2015,Solid waste,Undiscounted,FixedCosts,414861.80313951935
2015,Solid waste,Undiscounted,FixedSubsidies,0.0
2015,Trade energy,Discounted,VariableCosts,121839024.69418392
2015,Trade energy,Discounted,VariableSubsidies,0.0
2015,Trade energy,Undiscounted,VariableCosts,185295762.78317827
2015,Trade energy,Undiscounted,VariableSubsidies,0.0
2015,Water waste,Discounted,VariableCosts,3541618.6703520464
2015,Water waste,Discounted,VariableSubsidies,0.0
2015,Water waste,Undiscounted,VariableCosts,5682262.794857026
2015,Water waste,Undiscounted,VariableSubsidies,0.0
2016,Commercial building,Discounted,FixedCosts,7372.579789956809
2016,Commercial building,Discounted,FixedSubsidies,0.0
2016,Commercial building,Discounted,InvestmentCosts,0.0
2016,Commercial building,Undiscounted,FixedCosts,9800.360260761094
2016,Commercial building,Undiscounted,FixedSubsidies,0.0
2016,Commercial building,Undiscounted,InvestmentCosts,0.0
2016,Long distance transportation,Discounted,FixedCosts,386.28049792932904
2016,Long distance transportation,Discounted,FixedSubsidies,0.0
2016,Long distance transportation,Discounted,InvestmentCosts,0.0
2016,Long distance transportation,Undiscounted,FixedCosts,540.848654676112
2016,Long distance transportation,Undiscounted,FixedSubsidies,0.0
2016,Long distance transportation,Undiscounted,InvestmentCosts,0.0
2016,Passenger transportation,Discounted,FixedCosts,244.39603700388048
2016,Passenger transportation,Discounted,FixedSubsidies,0.0
2016,Passenger transportation,Discounted,InvestmentCosts,0.0
2016,Passenger transportation,Discounted,VariableCosts,0.07356046911697312
2016,Passenger transportation,Discounted,VariableSubsidies,0.0
2016,Passenger transportation,Undiscounted,FixedCosts,299.0587097186364
2016,Passenger transportation,Undiscounted,FixedSubsidies,0.0
2016,Passenger transportation,Undiscounted,InvestmentCosts,0.0
2016,Passenger transportation,Undiscounted,VariableCosts,0.08937516102750638
2016,Passenger transportation,Undiscounted,VariableSubsidies,0.0
2016,Public building,Discounted,FixedCosts,2101.1522841774154
2016,Public building,Discounted,FixedSubsidies,0.0
2016,Public building,Discounted,InvestmentCosts,0.0
2016,Public building,Undiscounted,FixedCosts,2679.3366626269926
2016,Public building,Undiscounted,FixedSubsidies,0.0
