regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2036,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2036,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2036,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2036,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2037,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2037,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2037,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2037,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2037,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2037,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2038,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2038,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2038,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2038,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2038,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2038,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2039,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2039,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2039,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2039,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2039,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2039,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2040,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2040,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2040,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2040,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2040,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2040,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2041,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2041,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2041,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2041,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2041,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
