regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,PUBTRABELCSTARES240V,2034,592.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2034,553.066666666667,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2034,408.54,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM240V,2034,80.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2034,553.066666666667,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2034,408.54,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM120V,2035,483.33333333333303,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial120V2035
TO,LDITRABELCSTACOM240V,2035,580.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2035,580.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2035,539.3194444444448,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2035,580.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM120V,2035,483.33333333333303,k$/MW,PassengerTransportBattery electricityCharging StationCommercial120V2035
TO,PASTRABELCSTACOM240V,2035,580.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2035,580.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2035,580.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2035,539.3194444444448,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM120V,2035,483.33333333333303,k$/MW,PublicTransportBattery electricityCharging StationCommercial120V2035
TO,PUBTRABELCSTACOM240V,2035,580.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2035,580.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2035,539.3194444444448,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTARES240V,2035,580.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2035,553.066666666667,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2035,408.54,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM120V,2035,83.33333333333326,k$/MW,FreightTransportBattery electricityCharging StationCommercial120V2035
TO,FRETRABELCSTACOM240V,2035,100.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2035,553.066666666667,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2035,408.54,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM120V,2036,473.33333333333303,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial120V2035
TO,LDITRABELCSTACOM240V,2036,568.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2036,568.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2036,528.1611111111115,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2036,568.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM120V,2036,473.33333333333303,k$/MW,PassengerTransportBattery electricityCharging StationCommercial120V2035
TO,PASTRABELCSTACOM240V,2036,568.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2036,568.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
