"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2019,Wood Pellet,Residential,Water Heating,565.7896334907379
2019,Coal,Industry,Industrial Processes,98.42525746381716
2019,District Cooling,Commercial,Space Cooling,1262.2367493173244
2019,District Cooling,Public,Space Cooling,255.9397681876028
2019,District Cooling,Residential,Space Cooling,84.63465633747107
2019,District Heating,Commercial,Space Heating,3526.1578123129443
2019,District Heating,Commercial,Water Heating,618.1307385313953
2019,District Heating,Public,Space Heating,1506.9772100508592
2019,District Heating,Public,Water Heating,320.735474288161
2019,District Heating,Residential,Space Heating,72.77406865088946
2019,District Heating,Residential,Water Heating,956.9400997791034
2019,Electricity,Commercial,Auxiliary Equipment,17512.983704931754
2019,Electricity,Commercial,Auxiliary Motors,2306.4464251792315
2019,Electricity,Commercial,Lighting,30315.166138474568
2019,Electricity,Commercial,Space Cooling,2690.832904004556
2019,Electricity,Commercial,Space Heating,1953.4112293511946
2019,Electricity,Commercial,Street Lighting,502.3144968538432
2019,Electricity,Commercial,Water Heating,160.55074710949674
2019,Electricity,Industry,Industrial Processes,2674.764473246557
2019,Electricity,Industry,Lighting,651.7889069483483
2019,Electricity,Industry,Space Cooling,367.87140599825784
2019,Electricity,Industry,Space Heating,758.1820548264845
2019,Electricity,Industry,Water Heating,1011.1101438865895
2019,Electricity,Public,Auxiliary Equipment,2047.2195426080343
2019,Electricity,Public,Auxiliary Motors,543.9189641961239
2019,Electricity,Public,Lighting,1985.4450533777083
2019,Electricity,Public,Space Cooling,1242.1386098767766
2019,Electricity,Public,Space Heating,788.1753156548602
2019,Electricity,Public,Water Heating,32.142214837999916
2019,Electricity,Residential,Other Appliances,5971.895555555798
2019,Electricity,Residential,Clothe Dryer,2040.2218925679438
2019,Electricity,Residential,Clothe Washer,113.03562694228992
2019,Electricity,Residential,Dish Washer,148.05998585405283
2019,Electricity,Residential,Freezer,520.5926946762326
2019,Electricity,Residential,Lighting,2485.956896234179
2019,Electricity,Residential,Range,1900.6400301642198
2019,Electricity,Residential,Refrigerator,1602.9423186416175
2019,Electricity,Residential,Space Cooling,3315.594484357782
2019,Electricity,Residential,Space Heating,4167.6822959110405
2019,Electricity,Residential,Water Heating,730.5165130632138
2019,Heavy Fuel Oil,Commercial,Space Heating,6.072267978271016
2019,Heavy Fuel Oil,Commercial,Water Heating,36.10898036529024
2019,Heavy Fuel Oil,Industry,Industrial Processes,42.723036590413976
2019,Heavy Fuel Oil,Industry,Space Heating,25.44243398520152
2019,Heavy Fuel Oil,Industry,Water Heating,60.87393840506215
2019,Heavy Fuel Oil,Public,Space Heating,0.0030868375290354325
2019,Heavy Fuel Oil,Public,Water Heating,1.5204239768963492
2019,Hydrogen,Residential,Space Heating,1.5361374906574747
2019,Hydrogen,Residential,Water Heating,1.1279427240677986
2019,Kerosene,Commercial,Space Heating,6.071597859094676
2019,Kerosene,Commercial,Water Heating,36.10766379190425
2019,Kerosene,Public,Space Heating,0.0030867769505902327
2019,Kerosene,Public,Water Heating,1.5204871233840318
2019,Kerosene,Residential,Space Heating,0.6217314469740817
2019,Kerosene,Residential,Water Heating,326.9733252235509
2019,Light Fuel Oil,Commercial,Space Heating,197.77393518445317
2019,Light Fuel Oil,Commercial,Water Heating,241.7794715991202
2019,Light Fuel Oil,Industry,Industrial Processes,480.33726761047694
2019,Light Fuel Oil,Industry,Space Heating,24.83118947685138
2019,Light Fuel Oil,Industry,Water Heating,44.42286531228656
2019,Light Fuel Oil,Public,Space Heating,344.03413840971
2019,Light Fuel Oil,Public,Water Heating,65.09738087220182
2019,Light Fuel Oil,Residential,Space Heating,782.8066805172988
2019,Light Fuel Oil,Residential,Water Heating,370.44745864924346
2019,Mix Energy,Industry,Industrial Processes,15317.039313286194
2019,Natural Gas,Commercial,Auxiliary Equipment,2675.7085398806594
2019,Natural Gas,Commercial,Space Cooling,124.00367526733497
2019,Natural Gas,Commercial,Space Heating,36085.22621738132
2019,Natural Gas,Commercial,Water Heating,5765.475249712977
2019,Natural Gas,Industry,Industrial Processes,11697.51951828932
2019,Natural Gas,Industry,Space Cooling,30.312108251163604
2019,Natural Gas,Industry,Space Heating,733.9010398948842
2019,Natural Gas,Industry,Water Heating,2880.2193010932892
2019,Natural Gas,Public,Auxiliary Equipment,386.1035922671755
2019,Natural Gas,Public,Space Cooling,161.38003993246267
2019,Natural Gas,Public,Space Heating,7312.951723335014
2019,Natural Gas,Public,Water Heating,895.9076838020295
2019,Natural Gas,Residential,Clothe Dryer,92.55567334527386
2019,Natural Gas,Residential,Range,94.16745895685598
2019,Natural Gas,Residential,Space Heating,58633.95415669194
2019,Natural Gas,Residential,Water Heating,18022.876386042408
2019,Pet Coke,Industry,Industrial Processes,237.7764798748758
2019,Propane,Commercial,Auxiliary Equipment,1959.062661655418
2019,Propane,Commercial,Space Heating,1081.969927435826
2019,Propane,Commercial,Water Heating,114.31570712444616
2019,Propane,Industry,Space Heating,21.936658555691977
2019,Propane,Industry,Water Heating,96.60808700334579
2019,Propane,Public,Auxiliary Equipment,0.01605321780942175
2019,Propane,Public,Space Heating,0.0033211324086617477
2019,Propane,Residential,Space Heating,0.8404205904284063
2019,Propane,Residential,Water Heating,562.5529738650625
2019,Synthetic Gas,Commercial,Auxiliary Equipment,3.163390894625959
2019,Synthetic Gas,Commercial,Space Cooling,1.1369037586335662
2019,Synthetic Gas,Commercial,Space Heating,9.682543849388503
2019,Synthetic Gas,Commercial,Water Heating,6.537052409997101
2019,Synthetic Gas,Public,Auxiliary Equipment,0.5919138508043927
2019,Synthetic Gas,Public,Space Cooling,1.3137663345216557
2019,Synthetic Gas,Public,Space Heating,2.302108465248463
2019,Synthetic Gas,Public,Water Heating,2.738169007800099
2019,Synthetic Gas,Residential,Space Heating,3.5995600067076907
2019,Synthetic Gas,Residential,Water Heating,2.656465103972875
2020,Biomass,Industry,Industrial Processes,85.59213566504641
2020,Biomass,Residential,Space Heating,216.84502649777966
2020,Biomass,Residential,Water Heating,586.5296667945402
2020,Bio Methane,Commercial,Auxiliary Equipment,99.80443590784829
2020,Bio Methane,Commercial,Space Cooling,23.895851703996854
2020,Bio Methane,Commercial,Space Heating,293.09522998873564
2020,Bio Methane,Commercial,Water Heating,188.48305795206775
2020,Bio Methane,Public,Auxiliary Equipment,28.67149033724759
2020,Bio Methane,Public,Space Cooling,30.52033671978732
2020,Bio Methane,Public,Space Heating,74.32169930951608
2020,Bio Methane,Public,Water Heating,74.04768992750999
2020,Bio Methane,Residential,Space Heating,150.16347513902895
2020,Bio Methane,Residential,Water Heating,109.49886659095115
2020,Wood Pellet,Residential,Space Heating,0.9849112233260431
2020,Wood Pellet,Residential,Water Heating,604.3151839600102
2020,Coal,Industry,Industrial Processes,98.53906600409523
2020,District Cooling,Commercial,Space Cooling,1259.7049318313348
2020,District Cooling,Public,Space Cooling,275.9675124578699
2020,District Cooling,Residential,Space Cooling,88.64072757269632
2020,District Heating,Commercial,Space Heating,3548.885362726051
2020,District Heating,Commercial,Water Heating,625.0483921431778
2020,District Heating,Public,Space Heating,1512.7117460495326
2020,District Heating,Public,Water Heating,318.55288165362805
2020,District Heating,Residential,Space Heating,115.35176446797938
2020,District Heating,Residential,Water Heating,912.7213977837129
2020,Electricity,Commercial,Auxiliary Equipment,17628.684053346522
2020,Electricity,Commercial,Auxiliary Motors,2263.0761647835034
2020,Electricity,Commercial,Lighting,30518.37045806357
2020,Electricity,Commercial,Space Cooling,2965.1272495993067
2020,Electricity,Commercial,Space Heating,1959.2977469064076
2020,Electricity,Commercial,Street Lighting,505.29998284715055
