regions,periods,tech,output_comm,TOS,to_split_notes
TO,2047,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2047,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2047,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2047,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2047,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2047,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2048,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2048,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2048,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2048,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2048,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2048,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2049,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2049,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2049,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2049,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2049,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2049,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2050,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2050,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2050,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2050,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2050,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2050,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
