regions,emis_comm,input_comm,tech,vintage,output_comm,emis_act,emis_act_units,emis_act_notes
TO,CO2e,IMPELC,LDITRAELCIMP17,2015,LDITRAELC,10.548562783397431,t/TJ,Long DistanceTransportElectricityImport17
TO,CO2e,IMPELC,LDITRAELCIMP18,2015,LDITRAELC,10.58665583764178,t/TJ,Long DistanceTransportElectricityImport18
TO,CO2e,IMPELC,LDITRAELCIMP19,2015,LDITRAELC,10.62395538571719,t/TJ,Long DistanceTransportElectricityImport19
TO,CO2e,IMPELC,LDITRAELCIMP20,2015,LDITRAELC,10.660398694946394,t/TJ,Long DistanceTransportElectricityImport20
TO,CO2e,IMPELC,LDITRAELCIMP21,2015,LDITRAELC,9.379956826131458,t/TJ,Long DistanceTransportElectricityImport21
TO,CO2e,IMPELC,LDITRAELCIMP22,2015,LDITRAELC,10.274497581023661,t/TJ,Long DistanceTransportElectricityImport22
TO,CO2e,IMPELC,LDITRAELCIMP23,2015,LDITRAELC,15.49692615067503,t/TJ,Long DistanceTransportElectricityImport23
TO,CO2e,IMPELC,LDITRAELCIMP24,2015,LDITRAELC,15.605622654486497,t/TJ,Long DistanceTransportElectricityImport24
TO,CO2e,IMPELC,LDITRAELCIMP25,2015,LDITRAELC,19.842627641397623,t/TJ,Long DistanceTransportElectricityImport25
TO,CO2e,IMPELC,LDITRAELCIMP26,2015,LDITRAELC,19.25415883294992,t/TJ,Long DistanceTransportElectricityImport26
TO,CO2e,IMPELC,LDITRAELCIMP27,2015,LDITRAELC,17.975540981854458,t/TJ,Long DistanceTransportElectricityImport27
TO,CO2e,IMPELC,LDITRAELCIMP28,2015,LDITRAELC,19.237014599963903,t/TJ,Long DistanceTransportElectricityImport28
TO,CO2e,IMPELC,LDITRAELCIMP29,2015,LDITRAELC,18.00851494275887,t/TJ,Long DistanceTransportElectricityImport29
TO,CO2e,IMPELC,LDITRAELCIMP30,2015,LDITRAELC,18.566572657137655,t/TJ,Long DistanceTransportElectricityImport30
TO,CO2e,IMPELC,LDITRAELCIMP31,2015,LDITRAELC,20.063865054210215,t/TJ,Long DistanceTransportElectricityImport31
TO,CO2e,IMPELC,LDITRAELCIMP32,2015,LDITRAELC,18.68381836969691,t/TJ,Long DistanceTransportElectricityImport32
TO,CO2e,IMPELC,LDITRAELCIMP33,2015,LDITRAELC,18.021494223021026,t/TJ,Long DistanceTransportElectricityImport33
TO,CO2e,IMPELC,LDITRAELCIMP34,2015,LDITRAELC,18.20305884559688,t/TJ,Long DistanceTransportElectricityImport34
TO,CO2e,IMPELC,LDITRAELCIMP35,2015,LDITRAELC,17.515945272569944,t/TJ,Long DistanceTransportElectricityImport35
TO,CO2e,IMPELC,LDITRAELCIMP36,2015,LDITRAELC,17.80805867095863,t/TJ,Long DistanceTransportElectricityImport36
TO,CO2e,IMPELC,LDITRAELCIMP37,2015,LDITRAELC,19.05403646397603,t/TJ,Long DistanceTransportElectricityImport37
TO,CO2e,IMPELC,LDITRAELCIMP38,2015,LDITRAELC,18.950371467577313,t/TJ,Long DistanceTransportElectricityImport38
TO,CO2e,IMPELC,LDITRAELCIMP39,2015,LDITRAELC,19.934363188284507,t/TJ,Long DistanceTransportElectricityImport39
TO,CO2e,IMPELC,LDITRAELCIMP40,2015,LDITRAELC,19.31115065051789,t/TJ,Long DistanceTransportElectricityImport40
TO,CO2e,IMPELC,LDITRAELCIMP41,2015,LDITRAELC,19.025322494599894,t/TJ,Long DistanceTransportElectricityImport41
TO,CO2e,IMPELC,LDITRAELCIMP42,2015,LDITRAELC,18.86568766798815,t/TJ,Long DistanceTransportElectricityImport42
TO,CO2e,IMPELC,LDITRAELCIMP43,2015,LDITRAELC,18.68286646876729,t/TJ,Long DistanceTransportElectricityImport43
TO,CO2e,IMPELC,LDITRAELCIMP44,2015,LDITRAELC,18.529547060312588,t/TJ,Long DistanceTransportElectricityImport44
TO,CO2e,IMPELC,LDITRAELCIMP45,2015,LDITRAELC,18.419520861811616,t/TJ,Long DistanceTransportElectricityImport45
TO,CO2e,IMPELC,LDITRAELCIMP46,2015,LDITRAELC,18.32030108609374,t/TJ,Long DistanceTransportElectricityImport46
TO,CO2e,IMPELC,LDITRAELCIMP47,2015,LDITRAELC,18.282301139800644,t/TJ,Long DistanceTransportElectricityImport47
TO,CO2e,IMPELC,LDITRAELCIMP48,2015,LDITRAELC,18.231340763399924,t/TJ,Long DistanceTransportElectricityImport48
TO,CO2e,IMPELC,LDITRAELCIMP49,2015,LDITRAELC,18.14494693923579,t/TJ,Long DistanceTransportElectricityImport49
TO,CO2e,IMPELC,LDITRAELCIMP50,2015,LDITRAELC,18.076306826542304,t/TJ,Long DistanceTransportElectricityImport50
TO,CO2e,IMPNGA,PUBTRANGAIMP,2015,PUBTRANGA,0.7353153941634564,t/TJ,PublicTransportNatural GasImport
TO,CO2e,IMPBMTN,PUBTRABMTNIMP,2015,PUBTRABMTN,0.7353153941634564,t/TJ,PublicTransportBio MethaneImport
TO,CO2e,IMPSGA,PUBTRASGAIMP,2015,PUBTRASGA,0.7353153941634564,t/TJ,PublicTransportSynthetic GasImport
