regions,tech,c2a,c2a_notes
TO,RESBDGELCIMP31,1,ResidentialBuildingElectricityImport31
TO,RESBDGELCIMP32,1,ResidentialBuildingElectricityImport32
TO,RESBDGELCIMP33,1,ResidentialBuildingElectricityImport33
TO,RESBDGELCIMP34,1,ResidentialBuildingElectricityImport34
TO,RESBDGELCIMP35,1,ResidentialBuildingElectricityImport35
TO,RESBDGELCIMP36,1,ResidentialBuildingElectricityImport36
TO,RESBDGELCIMP37,1,ResidentialBuildingElectricityImport37
TO,RESBDGELCIMP38,1,ResidentialBuildingElectricityImport38
TO,RESBDGELCIMP39,1,ResidentialBuildingElectricityImport39
TO,RESBDGELCIMP40,1,ResidentialBuildingElectricityImport40
TO,RESBDGELCIMP41,1,ResidentialBuildingElectricityImport41
TO,RESBDGELCIMP42,1,ResidentialBuildingElectricityImport42
TO,RESBDGELCIMP43,1,ResidentialBuildingElectricityImport43
TO,RESBDGELCIMP44,1,ResidentialBuildingElectricityImport44
TO,RESBDGELCIMP45,1,ResidentialBuildingElectricityImport45
TO,RESBDGELCIMP46,1,ResidentialBuildingElectricityImport46
TO,RESBDGELCIMP47,1,ResidentialBuildingElectricityImport47
TO,RESBDGELCIMP48,1,ResidentialBuildingElectricityImport48
TO,RESBDGELCIMP49,1,ResidentialBuildingElectricityImport49
TO,RESBDGELCIMP50,1,ResidentialBuildingElectricityImport50
TO,RESBDGETHOSIMP,1,ResidentialBuildingDummyImport
TO,RESBDGBMTNEXP,1,ResidentialBuildingBio MethaneExport
TO,RESBDGHH2EXP,1,ResidentialBuildingHydrogenExport
TO,COMBDGNGAIMP,1,CommercialBuildingNatural GasImport
TO,COMBDGLFOIMP,1,CommercialBuildingLight Fuel OilImport
TO,COMBDGHFOIMP,1,CommercialBuildingHeavy Fuel OilImport
TO,COMBDGPROIMP,1,CommercialBuildingPropaneImport
TO,COMBDGBMAIMP,1,CommercialBuildingBiomassImport
TO,COMBDGHH2IMP,1,CommercialBuildingHydrogenImport
TO,COMBDGSOLIMP,1,CommercialBuildingSolarImport
TO,COMBDGKERIMP,1,CommercialBuildingKeroseneImport
TO,COMBDGBWPIMP,1,CommercialBuildingWood PelletImport
TO,COMBDGGEOIMP,1,CommercialBuildingGeothermal EnergyImport
TO,COMBDGBMTNIMP,1,CommercialBuildingBio MethaneImport
TO,COMBDGSGAIMP,1,CommercialBuildingSynthetic GasImport
TO,COMBDGELCIMP16,1,CommercialBuildingElectricityImport16
TO,COMBDGELCIMP17,1,CommercialBuildingElectricityImport17
TO,COMBDGELCIMP18,1,CommercialBuildingElectricityImport18
TO,COMBDGELCIMP19,1,CommercialBuildingElectricityImport19
TO,COMBDGELCIMP20,1,CommercialBuildingElectricityImport20
TO,COMBDGELCIMP21,1,CommercialBuildingElectricityImport21
TO,COMBDGELCIMP22,1,CommercialBuildingElectricityImport22
TO,COMBDGELCIMP23,1,CommercialBuildingElectricityImport23
TO,COMBDGELCIMP24,1,CommercialBuildingElectricityImport24
TO,COMBDGELCIMP25,1,CommercialBuildingElectricityImport25
TO,COMBDGELCIMP26,1,CommercialBuildingElectricityImport26
TO,COMBDGELCIMP27,1,CommercialBuildingElectricityImport27
TO,COMBDGELCIMP28,1,CommercialBuildingElectricityImport28
TO,COMBDGELCIMP29,1,CommercialBuildingElectricityImport29
TO,COMBDGELCIMP30,1,CommercialBuildingElectricityImport30
TO,COMBDGELCIMP31,1,CommercialBuildingElectricityImport31
TO,COMBDGELCIMP32,1,CommercialBuildingElectricityImport32
TO,COMBDGELCIMP33,1,CommercialBuildingElectricityImport33
TO,COMBDGELCIMP34,1,CommercialBuildingElectricityImport34
TO,COMBDGELCIMP35,1,CommercialBuildingElectricityImport35
TO,COMBDGELCIMP36,1,CommercialBuildingElectricityImport36
TO,COMBDGELCIMP37,1,CommercialBuildingElectricityImport37
TO,COMBDGELCIMP38,1,CommercialBuildingElectricityImport38
TO,COMBDGELCIMP39,1,CommercialBuildingElectricityImport39
TO,COMBDGELCIMP40,1,CommercialBuildingElectricityImport40
TO,COMBDGELCIMP41,1,CommercialBuildingElectricityImport41
TO,COMBDGELCIMP42,1,CommercialBuildingElectricityImport42
TO,COMBDGELCIMP43,1,CommercialBuildingElectricityImport43
TO,COMBDGELCIMP44,1,CommercialBuildingElectricityImport44
TO,COMBDGELCIMP45,1,CommercialBuildingElectricityImport45
TO,COMBDGELCIMP46,1,CommercialBuildingElectricityImport46
TO,COMBDGELCIMP47,1,CommercialBuildingElectricityImport47
TO,COMBDGELCIMP48,1,CommercialBuildingElectricityImport48
TO,COMBDGELCIMP49,1,CommercialBuildingElectricityImport49
TO,COMBDGELCIMP50,1,CommercialBuildingElectricityImport50
TO,COMBDGETHOSIMP,1,CommercialBuildingDummyImport
TO,COMBDGHH2EXP,1,CommercialBuildingHydrogenExport
TO,COMBDGBMTNEXP,1,CommercialBuildingBio MethaneExport
TO,PUBBDGNGAIMP,1,PublicBuildingNatural GasImport
TO,PUBBDGLFOIMP,1,PublicBuildingLight Fuel OilImport
TO,PUBBDGHFOIMP,1,PublicBuildingHeavy Fuel OilImport
TO,PUBBDGPROIMP,1,PublicBuildingPropaneImport
TO,PUBBDGBMAIMP,1,PublicBuildingBiomassImport
TO,PUBBDGHH2IMP,1,PublicBuildingHydrogenImport
TO,PUBBDGSOLIMP,1,PublicBuildingSolarImport
TO,PUBBDGKERIMP,1,PublicBuildingKeroseneImport
TO,PUBBDGBWPIMP,1,PublicBuildingWood PelletImport
TO,PUBBDGGEOIMP,1,PublicBuildingGeothermal EnergyImport
TO,PUBBDGBMTNIMP,1,PublicBuildingBio MethaneImport
TO,PUBBDGSGAIMP,1,PublicBuildingSynthetic GasImport
TO,PUBBDGELCIMP16,1,PublicBuildingElectricityImport16
