tech,flag,sector,tech_desc,tech_category
PUBTRAELCIMP40,r,TRAENE,PublicTransportElectricityImport40,
PUBTRAELCIMP41,r,TRAENE,PublicTransportElectricityImport41,
PUBTRAELCIMP42,r,TRAENE,PublicTransportElectricityImport42,
PUBTRAELCIMP43,r,TRAENE,PublicTransportElectricityImport43,
PUBTRAELCIMP44,r,TRAENE,PublicTransportElectricityImport44,
PUBTRAELCIMP45,r,TRAENE,PublicTransportElectricityImport45,
PUBTRAELCIMP46,r,TRAENE,PublicTransportElectricityImport46,
PUBTRAELCIMP47,r,TRAENE,PublicTransportElectricityImport47,
PUBTRAELCIMP48,r,TRAENE,PublicTransportElectricityImport48,
PUBTRAELCIMP49,r,TRAENE,PublicTransportElectricityImport49,
PUBTRAELCIMP50,r,TRAENE,PublicTransportElectricityImport50,
PUBTRABMTNEXP,p,TRAENE,PublicTransportBio MethaneExport,
PUBTRACETHEXP,p,TRAENE,PublicTransportCellulosic EthanolExport,
PUBTRAHH2EXP,p,TRAENE,PublicTransportHydrogenExport,
RESBDGNGAIMP,r,TRAENE,ResidentialBuildingNatural GasImport,
RESBDGLFOIMP,r,TRAENE,ResidentialBuildingLight Fuel OilImport,
RESBDGPROIMP,r,TRAENE,ResidentialBuildingPropaneImport,
RESBDGBMAIMP,r,TRAENE,ResidentialBuildingBiomassImport,
RESBDGHH2IMP,r,TRAENE,ResidentialBuildingHydrogenImport,
RESBDGKERIMP,r,TRAENE,ResidentialBuildingKeroseneImport,
RESBDGBWPIMP,r,TRAENE,ResidentialBuildingWood PelletImport,
RESBDGBMTNIMP,r,TRAENE,ResidentialBuildingBio MethaneImport,
RESBDGSGAIMP,r,TRAENE,ResidentialBuildingSynthetic GasImport,
RESBDGGEOIMP,r,TRAENE,ResidentialBuildingGeothermal EnergyImport,
RESBDGSOLIMP,r,TRAENE,ResidentialBuildingSolarImport,
RESBDGSMTNIMP,r,TRAENE,ResidentialBuildingSynthetic MethaneImport,
RESBDGELCIMP16,r,TRAENE,ResidentialBuildingElectricityImport16,
RESBDGELCIMP17,r,TRAENE,ResidentialBuildingElectricityImport17,
RESBDGELCIMP18,r,TRAENE,ResidentialBuildingElectricityImport18,
RESBDGELCIMP19,r,TRAENE,ResidentialBuildingElectricityImport19,
RESBDGELCIMP20,r,TRAENE,ResidentialBuildingElectricityImport20,
RESBDGELCIMP21,r,TRAENE,ResidentialBuildingElectricityImport21,
RESBDGELCIMP22,r,TRAENE,ResidentialBuildingElectricityImport22,
RESBDGELCIMP23,r,TRAENE,ResidentialBuildingElectricityImport23,
RESBDGELCIMP24,r,TRAENE,ResidentialBuildingElectricityImport24,
RESBDGELCIMP25,r,TRAENE,ResidentialBuildingElectricityImport25,
RESBDGELCIMP26,r,TRAENE,ResidentialBuildingElectricityImport26,
RESBDGELCIMP27,r,TRAENE,ResidentialBuildingElectricityImport27,
RESBDGELCIMP28,r,TRAENE,ResidentialBuildingElectricityImport28,
RESBDGELCIMP29,r,TRAENE,ResidentialBuildingElectricityImport29,
RESBDGELCIMP30,r,TRAENE,ResidentialBuildingElectricityImport30,
RESBDGELCIMP31,r,TRAENE,ResidentialBuildingElectricityImport31,
RESBDGELCIMP32,r,TRAENE,ResidentialBuildingElectricityImport32,
RESBDGELCIMP33,r,TRAENE,ResidentialBuildingElectricityImport33,
RESBDGELCIMP34,r,TRAENE,ResidentialBuildingElectricityImport34,
RESBDGELCIMP35,r,TRAENE,ResidentialBuildingElectricityImport35,
RESBDGELCIMP36,r,TRAENE,ResidentialBuildingElectricityImport36,
RESBDGELCIMP37,r,TRAENE,ResidentialBuildingElectricityImport37,
RESBDGELCIMP38,r,TRAENE,ResidentialBuildingElectricityImport38,
RESBDGELCIMP39,r,TRAENE,ResidentialBuildingElectricityImport39,
RESBDGELCIMP40,r,TRAENE,ResidentialBuildingElectricityImport40,
RESBDGELCIMP41,r,TRAENE,ResidentialBuildingElectricityImport41,
RESBDGELCIMP42,r,TRAENE,ResidentialBuildingElectricityImport42,
RESBDGELCIMP43,r,TRAENE,ResidentialBuildingElectricityImport43,
RESBDGELCIMP44,r,TRAENE,ResidentialBuildingElectricityImport44,
RESBDGELCIMP45,r,TRAENE,ResidentialBuildingElectricityImport45,
RESBDGELCIMP46,r,TRAENE,ResidentialBuildingElectricityImport46,
RESBDGELCIMP47,r,TRAENE,ResidentialBuildingElectricityImport47,
RESBDGELCIMP48,r,TRAENE,ResidentialBuildingElectricityImport48,
RESBDGELCIMP49,r,TRAENE,ResidentialBuildingElectricityImport49,
RESBDGELCIMP50,r,TRAENE,ResidentialBuildingElectricityImport50,
RESBDGETHOSIMP,r,TRAENE,ResidentialBuildingDummyImport,
RESBDGBMTNEXP,p,TRAENE,ResidentialBuildingBio MethaneExport,
RESBDGHH2EXP,p,TRAENE,ResidentialBuildingHydrogenExport,
COMBDGNGAIMP,r,TRAENE,CommercialBuildingNatural GasImport,
