regions,tech,life,life_notes
TO,RESBDGELCIMP31,200,ResidentialBuildingElectricityImport31
TO,RESBDGELCIMP32,200,ResidentialBuildingElectricityImport32
TO,RESBDGELCIMP33,200,ResidentialBuildingElectricityImport33
TO,RESBDGELCIMP34,200,ResidentialBuildingElectricityImport34
TO,RESBDGELCIMP35,200,ResidentialBuildingElectricityImport35
TO,RESBDGELCIMP36,200,ResidentialBuildingElectricityImport36
TO,RESBDGELCIMP37,200,ResidentialBuildingElectricityImport37
TO,RESBDGELCIMP38,200,ResidentialBuildingElectricityImport38
TO,RESBDGELCIMP39,200,ResidentialBuildingElectricityImport39
TO,RESBDGELCIMP40,200,ResidentialBuildingElectricityImport40
TO,RESBDGELCIMP41,200,ResidentialBuildingElectricityImport41
TO,RESBDGELCIMP42,200,ResidentialBuildingElectricityImport42
TO,RESBDGELCIMP43,200,ResidentialBuildingElectricityImport43
TO,RESBDGELCIMP44,200,ResidentialBuildingElectricityImport44
TO,RESBDGELCIMP45,200,ResidentialBuildingElectricityImport45
TO,RESBDGELCIMP46,200,ResidentialBuildingElectricityImport46
TO,RESBDGELCIMP47,200,ResidentialBuildingElectricityImport47
TO,RESBDGELCIMP48,200,ResidentialBuildingElectricityImport48
TO,RESBDGELCIMP49,200,ResidentialBuildingElectricityImport49
TO,RESBDGELCIMP50,200,ResidentialBuildingElectricityImport50
TO,RESBDGETHOSIMP,200,ResidentialBuildingDummyImport
TO,RESBDGBMTNEXP,200,ResidentialBuildingBio MethaneExport
TO,RESBDGHH2EXP,200,ResidentialBuildingHydrogenExport
TO,COMBDGNGAIMP,200,CommercialBuildingNatural GasImport
TO,COMBDGLFOIMP,200,CommercialBuildingLight Fuel OilImport
TO,COMBDGHFOIMP,200,CommercialBuildingHeavy Fuel OilImport
TO,COMBDGPROIMP,200,CommercialBuildingPropaneImport
TO,COMBDGBMAIMP,200,CommercialBuildingBiomassImport
TO,COMBDGHH2IMP,200,CommercialBuildingHydrogenImport
TO,COMBDGSOLIMP,200,CommercialBuildingSolarImport
TO,COMBDGKERIMP,200,CommercialBuildingKeroseneImport
TO,COMBDGBWPIMP,200,CommercialBuildingWood PelletImport
TO,COMBDGGEOIMP,200,CommercialBuildingGeothermal EnergyImport
TO,COMBDGBMTNIMP,200,CommercialBuildingBio MethaneImport
TO,COMBDGSGAIMP,200,CommercialBuildingSynthetic GasImport
TO,COMBDGELCIMP16,200,CommercialBuildingElectricityImport16
TO,COMBDGELCIMP17,200,CommercialBuildingElectricityImport17
TO,COMBDGELCIMP18,200,CommercialBuildingElectricityImport18
TO,COMBDGELCIMP19,200,CommercialBuildingElectricityImport19
TO,COMBDGELCIMP20,200,CommercialBuildingElectricityImport20
TO,COMBDGELCIMP21,200,CommercialBuildingElectricityImport21
TO,COMBDGELCIMP22,200,CommercialBuildingElectricityImport22
TO,COMBDGELCIMP23,200,CommercialBuildingElectricityImport23
TO,COMBDGELCIMP24,200,CommercialBuildingElectricityImport24
TO,COMBDGELCIMP25,200,CommercialBuildingElectricityImport25
TO,COMBDGELCIMP26,200,CommercialBuildingElectricityImport26
TO,COMBDGELCIMP27,200,CommercialBuildingElectricityImport27
TO,COMBDGELCIMP28,200,CommercialBuildingElectricityImport28
TO,COMBDGELCIMP29,200,CommercialBuildingElectricityImport29
TO,COMBDGELCIMP30,200,CommercialBuildingElectricityImport30
TO,COMBDGELCIMP31,200,CommercialBuildingElectricityImport31
TO,COMBDGELCIMP32,200,CommercialBuildingElectricityImport32
TO,COMBDGELCIMP33,200,CommercialBuildingElectricityImport33
TO,COMBDGELCIMP34,200,CommercialBuildingElectricityImport34
TO,COMBDGELCIMP35,200,CommercialBuildingElectricityImport35
TO,COMBDGELCIMP36,200,CommercialBuildingElectricityImport36
TO,COMBDGELCIMP37,200,CommercialBuildingElectricityImport37
TO,COMBDGELCIMP38,200,CommercialBuildingElectricityImport38
TO,COMBDGELCIMP39,200,CommercialBuildingElectricityImport39
TO,COMBDGELCIMP40,200,CommercialBuildingElectricityImport40
TO,COMBDGELCIMP41,200,CommercialBuildingElectricityImport41
TO,COMBDGELCIMP42,200,CommercialBuildingElectricityImport42
TO,COMBDGELCIMP43,200,CommercialBuildingElectricityImport43
TO,COMBDGELCIMP44,200,CommercialBuildingElectricityImport44
TO,COMBDGELCIMP45,200,CommercialBuildingElectricityImport45
TO,COMBDGELCIMP46,200,CommercialBuildingElectricityImport46
TO,COMBDGELCIMP47,200,CommercialBuildingElectricityImport47
TO,COMBDGELCIMP48,200,CommercialBuildingElectricityImport48
TO,COMBDGELCIMP49,200,CommercialBuildingElectricityImport49
TO,COMBDGELCIMP50,200,CommercialBuildingElectricityImport50
TO,COMBDGETHOSIMP,200,CommercialBuildingDummyImport
TO,COMBDGHH2EXP,200,CommercialBuildingHydrogenExport
