regions,tech,group_name,act_fraction,tech_desc
TO,PUBTRAELCIMP47,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP48,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP49,TRAENE-PUBTRA,1,
TO,PUBTRAELCIMP50,TRAENE-PUBTRA,1,
TO,RESBDGELCIMP16,TRAENE-RESBDG,1,
TO,RESBDGELCIMP17,TRAENE-RESBDG,1,
TO,RESBDGELCIMP18,TRAENE-RESBDG,1,
TO,RESBDGELCIMP19,TRAENE-RESBDG,1,
TO,RESBDGELCIMP20,TRAENE-RESBDG,1,
TO,RESBDGELCIMP21,TRAENE-RESBDG,1,
TO,RESBDGELCIMP22,TRAENE-RESBDG,1,
TO,RESBDGELCIMP23,TRAENE-RESBDG,1,
TO,RESBDGELCIMP24,TRAENE-RESBDG,1,
TO,RESBDGELCIMP25,TRAENE-RESBDG,1,
TO,RESBDGELCIMP26,TRAENE-RESBDG,1,
TO,RESBDGELCIMP27,TRAENE-RESBDG,1,
TO,RESBDGELCIMP28,TRAENE-RESBDG,1,
TO,RESBDGELCIMP29,TRAENE-RESBDG,1,
TO,RESBDGELCIMP30,TRAENE-RESBDG,1,
TO,RESBDGELCIMP31,TRAENE-RESBDG,1,
TO,RESBDGELCIMP32,TRAENE-RESBDG,1,
TO,RESBDGELCIMP33,TRAENE-RESBDG,1,
TO,RESBDGELCIMP34,TRAENE-RESBDG,1,
TO,RESBDGELCIMP35,TRAENE-RESBDG,1,
TO,RESBDGELCIMP36,TRAENE-RESBDG,1,
TO,RESBDGELCIMP37,TRAENE-RESBDG,1,
TO,RESBDGELCIMP38,TRAENE-RESBDG,1,
TO,RESBDGELCIMP39,TRAENE-RESBDG,1,
TO,RESBDGELCIMP40,TRAENE-RESBDG,1,
TO,RESBDGELCIMP41,TRAENE-RESBDG,1,
TO,RESBDGELCIMP42,TRAENE-RESBDG,1,
TO,RESBDGELCIMP43,TRAENE-RESBDG,1,
TO,RESBDGELCIMP44,TRAENE-RESBDG,1,
TO,RESBDGELCIMP45,TRAENE-RESBDG,1,
TO,RESBDGELCIMP46,TRAENE-RESBDG,1,
TO,RESBDGELCIMP47,TRAENE-RESBDG,1,
TO,RESBDGELCIMP48,TRAENE-RESBDG,1,
