regions,periods,tech,minact,minact_units,minact_notes
TO,2019,PASTRAROATRULGTAPGCONVGAS____16,12.9,,
TO,2019,PASTRAROATRULGTRSHCONVGAS____16,0.9,,
TO,2019,PASTRAROATRULGTTAXCONVGAS____16,0.5,,
TO,2019,PASTRAROACAR___ADRCONVPRO____16,1.2,,
TO,2019,PASTRAROACAR___APGCONVPRO____16,0.1,,
TO,2019,PASTRAROACAR___RSHCONVPRO____16,0.0,,
TO,2019,PASTRAROACAR___TAXCONVPRO____16,0.0,,
TO,2019,PASTRAROATRULGTADRCONVPRO____16,0.4,,
TO,2019,PASTRAROATRULGTAPGCONVPRO____16,0.0,,
TO,2019,PASTRAROATRULGTRSHCONVPRO____16,0.0,,
TO,2019,PASTRAROATRULGTTAXCONVPRO____16,0.0,,
TO,2020,PASTRARAIREG___GOR___DSL____16,0.8,,
TO,2020,PASTRARAIREG___GOR___ELC____16,0.0,,
TO,2020,PASTRARAIREG___UPX___DSL____16,0.1,,
TO,2020,PASTRARAIREG___UPX___ELC____16,0.0,,
TO,2020,PASTRARAISUB___TSU___DSL____16,0.0,,
TO,2020,PASTRARAISUB___TSU___ELC____16,15.0,,
TO,2020,PASTRARAITRM___TST___DSL____16,0.0,,
TO,2020,PASTRARAITRM___TST___ELC____16,2.2,,
TO,2020,PASTRAROABUSIUBDURTCONVDSL____16,0.1,,
TO,2020,PASTRAROABUSIUBGOBCONVDSL____16,0.8,,
TO,2020,PASTRAROABUSIUBMWAYCONVDSL____16,0.8,,
TO,2020,PASTRAROABUSIUBVIVACONVDSL____16,0.1,,
TO,2020,PASTRAROABUSSCB___CONVDSL____16,1.7,,
TO,2020,PASTRAROABUSURBTBUCONVDSL____16,36.5,,
TO,2020,PASTRAROABUSURBWTBCONVDSL____16,6.8,,
TO,2020,PASTRAROACAR___ADRCONVDSL____16,23.8,,
TO,2020,PASTRAROACAR___APGCONVDSL____16,3.0,,
TO,2020,PASTRAROACAR___RSHCONVDSL____16,0.2,,
TO,2020,PASTRAROACAR___TAXCONVDSL____16,0.3,,
TO,2020,PASTRAROATRULGTADRCONVDSL____16,19.1,,
TO,2020,PASTRAROATRULGTAPGCONVDSL____16,2.4,,
TO,2020,PASTRAROATRULGTRSHCONVDSL____16,0.2,,
TO,2020,PASTRAROATRULGTTAXCONVDSL____16,0.1,,
TO,2020,PASTRAROABUSSCB___CONVNGA____16,0.1,,
TO,2020,PASTRAROABUSURBTBUCONVNGA____16,0.0,,
TO,2020,PASTRAROABUSURBWTBCONVNGA____16,0.0,,
TO,2020,PASTRAROACAR___ADRCONVNGA____16,1.3,,
TO,2020,PASTRAROACAR___APGCONVNGA____16,0.2,,
TO,2020,PASTRAROACAR___RSHCONVNGA____16,0.0,,
TO,2020,PASTRAROACAR___TAXCONVNGA____16,0.0,,
TO,2020,PASTRAROATRULGTADRCONVNGA____16,0.0,,
TO,2020,PASTRAROATRULGTAPGCONVNGA____16,0.0,,
