regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2040,RESBDGSDENewSHHEP___STDGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHSTV___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHSTV___HIGBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHHEP___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHHEP___ESRGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFUR___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHHEP___HIGGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFUR___HIGLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHHEP___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFIR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHPST___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFIR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHPST___HIGBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHHEP___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFUR___HIGLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHHEP___STDGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFIR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHSTV___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHSTV___HIGBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHPST___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHHEP___ESRGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHHEP___HIGGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFUR___HIGLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFIR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHPST___HIGBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFIR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
