regions,tech,life,life_notes
TO,PUBTRAFLEROATRUMETCONVGAS____16,15.0,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline2016
TO,PUBTRATHCROATRUMETCONVDSL____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel2023
TO,PUBTRATHCROATRUMETHYBDSL____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksHybridDiesel2023
TO,PUBTRATHCROATRUMETPHEVDSLBELCF_23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,PUBTRATHCROATRUMETBEVBELCF____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,PUBTRATHCROATRUMETCONVGAS____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline2023
TO,PUBTRATHCROATRUMETCELLHH2____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRATHCROATRUMETCONVNGA____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalNatural Gas2023
TO,PUBTRATHCROATRUMETCONVPRO____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalPropane2023
TO,PUBTRATHCROATRUMETCONVRDSL____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalRenewable Diesel2023
TO,PUBTRATHCROATRUMETHYBRDSL____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksHybridRenewable Diesel2023
TO,PUBTRATHCROATRUMETPHEVRDSLBELCF_23,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023
TO,PUBTRATHCROATRUMETCONVDSL____16,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel2016
TO,PUBTRATHCROATRUMETCONVGAS____16,15.0,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline2016
TO,PUBTRAPOLROATRUMETCONVDSL____23,15.0,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel2023
