regions,tech,c2a,c2a_notes
TO,PUBTRAFLEROACAR___CONVNGABIF_23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalNatural GasBi Fuel2023
TO,PUBTRAFLEROACAR___CONVNGA____23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalNatural Gas2023
TO,PUBTRAFLEROACAR___CONVPROBIF_23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalPropaneBi Fuel2023
TO,PUBTRAFLEROACAR___CONVPRO____23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalPropane2023
TO,PUBTRAFLEROACAR___CONVRDSL____23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalRenewable Diesel2023
TO,PUBTRAFLEROACAR___HYBRDSL____23,350.40000000000003,PublicTransportationFleet ServicesRoadCarsHybridRenewable Diesel2023
TO,PUBTRAFLEROACAR___CONVDSL____16,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalDiesel2016
TO,PUBTRAFLEROACAR___CONVGAS____16,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline2016
TO,PUBTRATHCROACAR___CONVDSL____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalDiesel2023
TO,PUBTRATHCROACAR___HYBDSL____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsHybridDiesel2023
TO,PUBTRATHCROACAR___BEV320BELC____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCars320VElectricityBattery Electric Vehicle2023
TO,PUBTRATHCROACAR___BEV480BELC____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCars480VElectricityBattery Electric Vehicle2023
TO,PUBTRATHCROACAR___BEV640BELC____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCars640VElectricityBattery Electric Vehicle2023
TO,PUBTRATHCROACAR___CONVGAS____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline2023
TO,PUBTRATHCROACAR___HYBGAS____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsHybridGasoline2023
TO,PUBTRATHCROACAR___PHEVGASBELC_23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsPlug Hybrid VehicleGasolineBattery Electric Vehicle2023
TO,PUBTRATHCROACAR___CELLHH2____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsFuel Cell VehicleHydrogen2023
TO,PUBTRATHCROACAR___CONVNGABIF_23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalNatural GasBi Fuel2023
TO,PUBTRATHCROACAR___CONVNGA____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalNatural Gas2023
TO,PUBTRATHCROACAR___CONVPROBIF_23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalPropaneBi Fuel2023
TO,PUBTRATHCROACAR___CONVPRO____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalPropane2023
TO,PUBTRATHCROACAR___CONVRDSL____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalRenewable Diesel2023
TO,PUBTRATHCROACAR___HYBRDSL____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsHybridRenewable Diesel2023
TO,PUBTRATHCROACAR___CONVDSL____16,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalDiesel2016
TO,PUBTRATHCROACAR___CONVGAS____16,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline2016
TO,PUBTRAPOLROAMOR___BEVBELC____23,350.40000000000003,PublicTransportationPolice ServicesRoadMotorcyclesBattery Electric VehicleBattery Electric Vehicle2023
TO,PUBTRAPOLROAMOR___CONVGAS____23,350.40000000000003,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline2023
TO,PUBTRAPOLROAMOR___CONVGAS____16,350.40000000000003,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline2016
TO,PUBTRAFLEROAMOR___BEVBELC____23,350.40000000000003,PublicTransportationFleet ServicesRoadMotorcyclesBattery Electric VehicleBattery Electric Vehicle2023
TO,PUBTRAFLEROAMOR___CONVGAS____23,350.40000000000003,PublicTransportationFleet ServicesRoadMotorcyclesConventionnalGasoline2023
TO,PUBTRAFLEROAMOR___CONVGAS____16,350.40000000000003,PublicTransportationFleet ServicesRoadMotorcyclesConventionnalGasoline2016
TO,PUBTRATHCROAMOR___BEVBELC____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadMotorcyclesBattery Electric VehicleBattery Electric Vehicle2023
TO,PUBTRATHCROAMOR___CONVGAS____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadMotorcyclesConventionnalGasoline2023
