tech,flag,sector,tech_desc,tech_category
PUBTRATHCROABUSURBCONVDSL____16,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadInter-city BusesUrban Bus ConventionnalDiesel2016,
PUBTRAPOLROATRUHETCATEDSLELC_25,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025,
PUBTRAPOLROATRUHETPHEVDSLBELCF_23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023,
PUBTRAPOLROATRUHETCATENGAELC_25,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryNatural GasElectricity2025,
PUBTRAPOLROATRUHETCONVNGA____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalNatural Gas2023,
PUBTRAPOLROATRUHETPHEVNGABELCF_23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleNatural GasBattery Electricity Freight2023,
PUBTRAPOLROATRUHETCONVRDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalRenewable Diesel2023,
PUBTRAPOLROATRUHETHYBRDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksHybridRenewable Diesel2023,
PUBTRAFLEROATRUHETCATEDSLELC_25,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025,
PUBTRAFLEROATRUHETPHEVDSLBELCF_23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023,
PUBTRAFLEROATRUHETCATENGAELC_25,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksCatenaryNatural GasElectricity2025,
PUBTRAFLEROATRUHETCONVNGA____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalNatural Gas2023,
